,Return,Volatility,VGSH,AAPL,VTI
2848,0.016753735421398113,0.010339853867139379,0.9985871064270221,0.0006080613653204881,0.0008048322076574501
714,0.02926624525820495,0.014254942183901515,0.9427253340347749,0.028881224305504997,0.028393441659720128
1947,0.029490752723972537,0.016529117546856147,0.9218568561627194,0.018603131200478462,0.05954001263680215
2687,0.03242733280635481,0.018752760346173854,0.9137609936793961,0.027960944219810553,0.058278062100793386
1607,0.027724433484233483,0.018873865709336565,0.903367773572127,0.00029305001155856335,0.09633917641631438
942,0.031414441899972625,0.020421408880967058,0.8990953405106624,0.015255190939881065,0.08564946854945651
2980,0.031059666937877907,0.02150426339648879,0.8917082072977808,0.009583159302983557,0.09870863339923562
471,0.039410318217302814,0.023299531520906355,0.9073496085263729,0.05718405481634885,0.035466336657278184
868,0.037451699396727885,0.02532249612793235,0.8812621471700031,0.033848187738867365,0.08488966509112962
818,0.04069112119353954,0.027420017786223255,0.877055272799605,0.046735659253160665,0.07620906794723437
1366,0.04233006324831688,0.0275462159603,0.8833498128646649,0.05782874219302369,0.0588214449423114
429,0.044596060076062434,0.028134854677950082,0.8915734332681947,0.07290585323336879,0.03552071349843654
477,0.04477799966239132,0.029453925351064215,0.8793476951863709,0.06712056203216588,0.05353174278146318
1077,0.037146086032880554,0.030407331501121026,0.8487196544351432,0.014749496732174057,0.13653084883268277
537,0.03595869991281078,0.03149864177125335,0.8410507632128301,0.0050250765027610965,0.15392416028440875
2985,0.0418308226874686,0.03308578238407125,0.8417160526491846,0.032887554958737325,0.1253963923920781
1998,0.03975061555039148,0.03316282924972219,0.8370404278712793,0.020606779535397378,0.14235279259332334
340,0.04250560674864203,0.03586853934058987,0.8262038072656565,0.027626181895368373,0.14617001083897518
1245,0.03786333609022646,0.0360122104913294,0.8187209070433539,0.001822253005388885,0.17945683995125736
897,0.03861176144885487,0.037078831434418744,0.813782180525525,0.0026461560658818596,0.18357166340859316
403,0.04955972708874933,0.03727308538303107,0.837153072310039,0.06660757918835156,0.09623934850160946
1503,0.051901846907703636,0.03782537359351567,0.8433102873662492,0.08091934584964874,0.07577036678410204
651,0.055537496694164155,0.03818661472311181,0.8639787213975002,0.10916735813665039,0.026853920465849394
649,0.05578631115971038,0.03910377666932562,0.855349694465783,0.1056479289136327,0.039002376620584284
2186,0.04535264189017486,0.039288378840615576,0.8115348947804089,0.0329960997425428,0.1554690054770484
2857,0.05209713677084252,0.0399469730984843,0.827161385037789,0.07306668420020171,0.09977193076200933
874,0.05052505223018429,0.04025000459133489,0.8191287118488695,0.06134308300055595,0.11952820515057452
541,0.05877668552978806,0.04150356901878254,0.8523036035011547,0.11799921246339115,0.029697184035454096
1898,0.05895370910094231,0.042672994214801294,0.8405656862923235,0.11245573681632573,0.04697857689135072
1989,0.0426144736905109,0.04269347120498245,0.7880795903513376,0.0074383226727523285,0.20448208697591008
734,0.05463690885649757,0.04410908697158887,0.8062322912073042,0.073598910679549,0.12016879811314682
2352,0.061672227005521205,0.04444887694102363,0.8422673599276677,0.12611138948736036,0.031621250584971956
1733,0.04642371119373983,0.045239722414804666,0.7791905145570432,0.02045247119171832,0.20035701425123842
2991,0.046942479968520016,0.046091891153869254,0.7752304756338736,0.020732140448931957,0.20403738391719442
2754,0.05330059290070348,0.046713586800389784,0.7844975868696084,0.05554063628520871,0.1599617768451831
2730,0.05908530641492084,0.04689149479172827,0.8033983902471407,0.09289384669563537,0.10370776305722398
2313,0.06620912753183428,0.04858420699536086,0.8325595026723536,0.14208893088512858,0.025351566442517837
1859,0.05554626707366775,0.048662988165801065,0.7781312328967668,0.06260163914287724,0.15926712796035594
1468,0.055927113781295563,0.04931693210795782,0.7749679545430863,0.06266793218590265,0.16236411327101108
309,0.0556793776870754,0.05057550184106433,0.7663076103763565,0.05680597350279505,0.17688641612084835
1805,0.06587993348730703,0.0507963030960456,0.8060613663825781,0.1261612976141912,0.06777733600323084
426,0.06116948902996788,0.05094896028313181,0.7812196888150459,0.09061396685562972,0.1281663443293244
