,assets,money invested,weights,return,pf_return,Pf_volatilities
COST,COST,1000,0.18181818181818182,0.3543133594029762,0.28522074120113006,0.21673185364087535
VUG,VUG,2000,0.36363636363636365,0.2960787245176525,0.28522074120113006,0.21673185364087535
VOO,VOO,300,0.05454545454545454,0.22927713256951687,0.28522074120113006,0.21673185364087535
CMCSA,CMCSA,400,0.07272727272727272,0.1442619325019376,0.28522074120113006,0.21673185364087535
AAPL,AAPL,500,0.09090909090909091,0.5070201395122499,0.28522074120113006,0.21673185364087535
VTI,VTI,600,0.10909090909090909,0.22703180672210177,0.28522074120113006,0.21673185364087535
VYM,VYM,700,0.12727272727272726,0.1514660022955972,0.28522074120113006,0.21673185364087535
