,Return,Volatility,VDC,VIG,VOO,BIV
1351,0.0782370350049204,0.10367375819687229,0.36352509012810835,0.20533340016682247,0.01572970808781105,0.41541180161725816
428,0.08439114832830821,0.10376726965087667,0.099533936576221,0.17321413053529083,0.2600339227820925,0.4672180101063957
22,0.07972894927357031,0.1040677538100988,0.33259154816219627,0.1392058950643491,0.10787105584625062,0.4203315009272041
115,0.07789429306387062,0.10414238477657224,0.39471520171790087,0.1491711861850839,0.04446750241021821,0.41164610968679693
1955,0.08447266730951733,0.10415211374058134,0.08663799064239178,0.2998524912650483,0.1546462645767971,0.4588632535157628
2537,0.08459521379473592,0.10417824632006206,0.09798905986089962,0.18966404018162036,0.2481451341223932,0.4642017658350867
2600,0.08102132211193651,0.10431927986763541,0.26994892516157487,0.23525956922293773,0.07105915075844481,0.4237323548570424
1570,0.0829458197739738,0.10444835357599101,0.21565755518539304,0.0626666496393355,0.2768369655371762,0.4448388296380952
692,0.08552604369295715,0.10451056759289067,0.03891811356226135,0.23702324807525083,0.24947028076757183,0.47458835759491597
2187,0.08448710091038142,0.10459463588366338,0.10047917963127505,0.29464517548241986,0.1513005214867247,0.4535751233995805
807,0.08045318931041785,0.10469032868779032,0.2907153820592523,0.27611984995252115,0.01658271425830161,0.416582053729925
319,0.08326703034235328,0.1047433578381876,0.19421040455272065,0.1588003255127572,0.20622829953508856,0.44076097039943374
2692,0.08323265519893622,0.10480785808412246,0.2150210845676407,0.020648687671460837,0.31774950963727217,0.4465807181236264
513,0.07970334048305831,0.10484731680455676,0.34989570920561985,0.13471756082734568,0.10144797827335988,0.4139387516936746
1898,0.0796109388000105,0.10491731025859655,0.3717295097118695,0.03406518711867104,0.17810910497491464,0.4160961981945449
2291,0.07293002085988003,0.10496422742188603,0.5715178749161848,0.014622202813375755,0.012893697882653057,0.40096622438778634
1793,0.08465496582295347,0.10497515673674064,0.12643421397604826,0.1407107964732727,0.27593073864848383,0.4569242509021952
2616,0.07435419076813322,0.10521737016086678,0.5390842915030695,0.01884892565937363,0.042048513079435405,0.4000182697581215
1193,0.085160709434275,0.10528430416800089,0.10161494914720781,0.1647941818189774,0.2738398788219473,0.45975099021186744
1897,0.07917415803566293,0.10548895699326129,0.383636897645395,0.11826467986547107,0.09119243514399238,0.4069059873451415
718,0.0825836006268334,0.10551631034522485,0.2208827225114913,0.2878354914664824,0.06792323748740837,0.42335854853461796
2306,0.08658296331020116,0.10558706234229448,0.004667098764988816,0.1297599006298361,0.3763081503645693,0.4892648502406058
2544,0.0862753479593582,0.10558964661758762,0.026834664000224544,0.21179305795256909,0.2865391515353843,0.4748331265118221
181,0.08535041712912728,0.10562209332089825,0.06340557345650505,0.3773887992204386,0.10720146417414413,0.45200416314891223
272,0.0808722526600481,0.10566595071973048,0.34300022018019777,0.012235221064942016,0.2269106084996763,0.417853950255184
303,0.08230198467378301,0.10567716480547061,0.2808287923999844,0.03325870678995133,0.25856909473815726,0.4273434060719071
704,0.07849033704946903,0.10587460666012803,0.41420988453041513,0.11256563814484428,0.07164265229262115,0.40158182503211937
2390,0.08350598270014564,0.10589123083926899,0.1626170369097677,0.39962708215913006,0.01079827124449776,0.42695760968660434
2346,0.08236096359127382,0.10605827434706581,0.2313077365439899,0.33752996712833183,0.014962212269240504,0.41620008405843784
1540,0.08450303710254539,0.10614073912697491,0.16345533125676767,0.18796284556581666,0.21016193574492478,0.43841988743249083
794,0.08399929128218366,0.10618157273978676,0.1494682275531414,0.38809502540458424,0.03370339557175571,0.42873335147051866
1195,0.08441438724761655,0.10620377712246197,0.11393417575861822,0.4497843294119759,0.0032640082956469983,0.4330174865337589
1405,0.08538254306913397,0.1062283112049702,0.12826034757538438,0.0697538613082979,0.34566970930173996,0.45631608181457783
