,Return,Volatility,BND,VCIT,VOO,VGIT
1237,0.035499996771443935,0.029704393607980543,0.013639661927738193,0.005150132949326718,0.08236215694368455,0.8988480481792506
958,0.03622043086416948,0.03222832703642636,0.08326389044141966,0.0885883980682539,0.0760188503131188,0.7521288611772076
1410,0.03153884503307114,0.03336981015155471,0.0830534692486799,0.11694233042353268,0.030922616541099367,0.7690815837866881
1819,0.03199003693536641,0.03374254147946174,0.057229129471519785,0.15688591797738924,0.030992757117740792,0.7548921954333502
1886,0.03861547269711841,0.033881348172383675,0.17355364657728395,0.04337974172914927,0.09955022808413205,0.6835163836094348
108,0.03159534356394806,0.034014166657024864,0.0747802398545408,0.15106558470180242,0.02755325592523254,0.7466009195184243
1842,0.03297890886127941,0.034091213422887304,0.28249436909910686,0.0009451957869891341,0.050631963683289954,0.6659284714306141
2599,0.037620454322648114,0.03413868717221268,0.24711999857061895,0.00017302365570246654,0.09329835956650655,0.659408618207172
288,0.03544835394981915,0.03413952059513124,0.14507488069678937,0.12789270586111207,0.062086090337562176,0.6649463231045364
1325,0.034089926507089696,0.03446657084667299,0.16981563861580987,0.1234296549524305,0.04964692755266623,0.6571077788790934
2995,0.03811388940542204,0.03482123071176653,0.18257449668042858,0.09140479024655124,0.08888516598987806,0.637135547083142
2359,0.03597769560292513,0.035110332075058044,0.29146232265108946,0.02836766292936084,0.07361946935584852,0.6065505450637012
2365,0.039489317407489524,0.0355999918796004,0.04320818907730535,0.21486644544459926,0.09110722379785009,0.6508181416802452
1553,0.03730667797565691,0.03563044992216805,0.25920725612825635,0.06633428698078109,0.08197300777521506,0.5924854491157475
676,0.03814582027689495,0.035654777156822595,0.29746212092858465,0.0068785601986967254,0.0953110459028535,0.6003482729698653
426,0.04043468573577137,0.035687901269764365,0.20603454216678624,0.04252957578967182,0.11464656055002133,0.6367893214935206
836,0.043999405438939536,0.035820024388243304,0.06620617201183258,0.022562668873181875,0.15390074138307197,0.7573304177319137
1866,0.04087377209808155,0.03583610057463741,0.22553298975671643,0.008983450309229727,0.12194264889524048,0.6435409110388134
1673,0.03546262461738643,0.03617800990850181,0.1564270556909601,0.19730903742112185,0.05330689781587748,0.5929570090720405
2149,0.039257741278686094,0.03629479052361039,0.19737623672076032,0.1162005792027879,0.09548401991224852,0.5909391641642033
1073,0.03557238348545073,0.036393705465388,0.23902684380490902,0.13704464021864446,0.058636844006743495,0.565291671969703
2509,0.028262082404002922,0.036514663492903755,0.30323074458726335,0.016802311309241,0.005985638087492581,0.673981306016003
1482,0.03755448601907983,0.03654777853379467,0.024064737241229133,0.2898714245958771,0.0654243647239039,0.6206394734389897
2852,0.029642849437777508,0.0365505293513782,0.09026982785983853,0.20432282058876353,0.0031081849759493066,0.7022991665754486
148,0.03358036518751908,0.03655704091080756,0.28011211391852026,0.1125756257294702,0.04241289067873178,0.5648993696732778
790,0.034597539299678896,0.03675649445656761,0.3484110927165281,0.05348390383259891,0.05619197842070414,0.5419130250301689
1401,0.03457871662071346,0.036872921644735705,0.38970805864464825,0.014401521405945647,0.05929641876073922,0.5365940011886668
437,0.03735964962698225,0.037057566390627066,0.3454401935682857,0.03619214004879559,0.08298047913741807,0.5353871872455006
1585,0.031258114912306026,0.03709009045378902,0.3876277760652278,0.02067138141189604,0.029073801065297413,0.5626270414575788
2199,0.027995130389038496,0.037114391902316926,0.28709809304935563,0.05085146158538799,3.5910333598596454e-05,0.6620145350316579
2835,0.038836307667677136,0.03716451287543781,0.03282665061197334,0.29030565299065736,0.07645094849218162,0.6004167479051877
603,0.033166358543846905,0.03718548473498829,0.22433537840780687,0.1810932414067048,0.032387500904577204,0.5621838792809111
1526,0.03460282471648448,0.03722607274246275,0.3843211162556724,0.03568286687775447,0.05710441785208706,0.522891599014486
1517,0.038758929480389066,0.037262485572085384,0.24271010040698604,0.12405133088308491,0.08843111561569363,0.5448074530942354
1597,0.03407336997505049,0.03763991501124087,0.3094242288941794,0.12770165541841771,0.04387612941131594,0.518997986276087
2590,0.03548962430710119,0.03771230040092769,0.0542887143076879,0.31946979189603,0.0423356566487064,0.5839058371475758
2730,0.03417258042271131,0.03775708504745198,0.0941357483362741,0.29517450865624917,0.03213855808585207,0.5785511849216247
1782,0.03679552290237583,0.03785582815982266,0.1867202762665343,0.2240689865552409,0.060780741333313716,0.528429995844911
1351,0.03643554213601008,0.03789442343579424,0.20622864788735704,0.21292377740722923,0.05822980506161946,0.5226177696437944
2442,0.031055661702544896,0.03791193899924356,0.18645649375949966,0.2168161690813935,0.010630299738121662,0.5860970374209851
2887,0.034744394337429714,0.03803292049979463,0.16827721952441063,0.25419330162217796,0.03952801564543129,0.5380014632079801
1653,0.04029140899023206,0.038072271854559366,0.2484814292596741,0.11358483523721333,0.1031296132813537,0.5348041222217589
2946,0.03905401386820995,0.03814165955093687,0.05380677278686577,0.305856057391431,0.07571834849129704,0.5646188213304062
1328,0.03715985896616562,0.03830818263888744,0.38800507724372973,0.047112275012830974,0.07831262122695035,0.48657002651648895
2471,0.03670407739634348,0.03837099203827907,0.27339053641941036,0.17031290450130443,0.06337642972181146,0.4929201293574737
1329,0.032416089574367445,0.038434766789258744,0.3468915741590826,0.12137740326133513,0.028541797080727873,0.5031892254988544
1949,0.038868123235545046,0.03848652241479138,0.3497223254723625,0.06109926952096184,0.09319282818129901,0.4959855768253767
1663,0.03142954015148923,0.03861587316206786,0.3348889906597549,0.13217978265828761,0.01888510083455846,0.5140461258473992
470,0.04068528626329233,0.038681631474775414,0.12713075280743472,0.23864248391237677,0.09576880038777982,0.5384579628924088
2445,0.041100727630918495,0.03871892030120897,0.19930887673332523,0.16540359149488942,0.10578520849037591,0.5295023232814094
2385,0.03908461896618168,0.038820752965867546,0.26317275235598897,0.15903895206543986,0.08630011891290192,0.49148817666566924
