,Return,Volatility,AAPL,VTI
2033,0.13252192526718384,0.21233712510891803,0.0006576488448081186,0.9993423511551919
710,0.13268717222693552,0.21236762560981232,0.0014315605668565278,0.9985684394331434
915,0.13286939429450573,0.21240140407183747,0.0022849729038845424,0.9977150270961155
1837,0.13293441795495975,0.21241349423973205,0.0025895023978704593,0.9974104976021295
2240,0.13323120726434695,0.21246892305984577,0.003979474872151044,0.996020525127849
1529,0.13328933674609442,0.21247982652719816,0.004251716415284805,0.9957482835847152
143,0.1334251775270606,0.21250536661372646,0.004887908287618863,0.9951120917123811
2587,0.13343523798031648,0.21250726147868718,0.004935025055851889,0.9950649749441481
2991,0.13350343588396238,0.21252011858764283,0.005254420687275251,0.9947455793127248
712,0.13392069960465308,0.21259924587978893,0.007208618725855514,0.9927913812741445
2666,0.1341281486505984,0.21263888064402522,0.008180178194338783,0.9918198218056612
138,0.1342633625807238,0.21266481986950267,0.00881343429578551,0.9911865657042145
2712,0.13451660895112605,0.21271362623005527,0.00999947932145497,0.990000520678545
2617,0.13476611701855995,0.2127619975692902,0.011168016512232436,0.9888319834877676
403,0.13478483031614094,0.21276563687280498,0.011255657703198096,0.9887443422968019
2324,0.13502090039290948,0.2128116837748548,0.012361259887411297,0.9876387401125887
2902,0.13502237274013065,0.21281197176001668,0.012368155425913746,0.9876318445740863
1287,0.1350266133788107,0.21281280126684207,0.012388015881975252,0.9876119841180248
932,0.13514658630861995,0.212836302902367,0.012949892825716935,0.9870501071742831
960,0.13518887194062323,0.21284460186996612,0.01314793184761931,0.9868520681523807
2981,0.13522119089528292,0.21285095025629222,0.013299293288054117,0.9867007067119459
2895,0.13534958831309665,0.21287621811804802,0.013900625178674752,0.9860993748213253
210,0.1353535944115994,0.21287700769914833,0.013919387197628716,0.9860806128023712
284,0.13556970401644053,0.21291970974445193,0.014931507218990265,0.9850684927810097
1506,0.13585169633561764,0.21297574850810033,0.016252179996672392,0.9837478200033276
2563,0.13588885630215244,0.2129831599940179,0.016426213659593594,0.9835737863404064
1393,0.13619959060331302,0.21304538035560086,0.017881495611358843,0.9821185043886411
799,0.13632398028507486,0.2130704103203073,0.018464057813786044,0.981535942186214
2499,0.13645347695241006,0.2130965423589575,0.019070537890439162,0.9809294621095609
1227,0.1364822489174868,0.21310235876202008,0.019205287486272746,0.9807947125137273
1184,0.13688244601320185,0.21318364905458465,0.02107955630168098,0.978920443698319
65,0.13713707812285136,0.21323574832215553,0.02227209124915457,0.9777279087508455
1411,0.13715562418201854,0.21323955440423922,0.022358949201693384,0.9776410507983067
1420,0.1371907968383067,0.21324677691769844,0.022523675566631637,0.9774763244333684
2737,0.13720183530386462,0.21324904475854262,0.02257537272282458,0.9774246272771754
689,0.1372041607652545,0.21324952259226107,0.02258626370582064,0.9774137362941794
2747,0.1372931225465107,0.21326782071772526,0.02300290414163831,0.9769970958583617
2758,0.1377249694889213,0.21335715288119086,0.025025400721088224,0.9749745992789117
328,0.13786742755222717,0.21338680639295413,0.025692583737698175,0.9743074162623018
2912,0.13788008136786806,0.21338944478615413,0.02575184616690013,0.9742481538330998
1580,0.13800829343601007,0.21341621844059377,0.02635230999747386,0.9736476900025262
418,0.13821742801437753,0.2134600495339704,0.027331763428432174,0.9726682365715679
1330,0.13826609294274486,0.21347027713844155,0.027559679019573558,0.9724403209804264
2256,0.13829295453781218,0.2134759270398535,0.027685481656588937,0.9723145183434111
2420,0.13832273221452263,0.21348219408855268,0.027824941366445092,0.9721750586335549
2435,0.13848511503596128,0.21351643961761865,0.02858543928519359,0.9714145607148064
1750,0.13848783277348808,0.213517013781269,0.02859816744026873,0.9714018325597312
2375,0.1385705552247495,0.21353450606554455,0.0289855868203528,0.9710144131796472
2779,0.13864130800792562,0.21354949169848597,0.02931694788351454,0.9706830521164854
2283,0.1387101252184537,0.21356408897144835,0.02963924395471834,0.9703607560452817
2106,0.13873866623611159,0.2135701492429624,0.029772911939641187,0.9702270880603588
331,0.13876628421878762,0.21357601700828943,0.029902257015426235,0.9700977429845737
2741,0.13883256133010705,0.21359011234920058,0.03021265687652296,0.969787343123477
2121,0.13888987802553368,0.21360231797480378,0.030481091845168715,0.9695189081548313
880,0.13890656847735713,0.21360587499263228,0.030559259312406085,0.9694407406875939
1666,0.1389128524554646,0.21360721453915668,0.0305886894715193,0.9694113105284807
934,0.13904094167990685,0.21363455780404017,0.031188577980287666,0.9688114220197124
2877,0.13904109661202482,0.21363459092210427,0.031189303583847264,0.9688106964161527
723,0.1391201808813646,0.21365150993494786,0.03155968403238119,0.9684403159676188
484,0.13920907765422946,0.2136705617338197,0.03197602001021553,0.9680239799897846
2796,0.13922517476954827,0.21367401536118408,0.03205140866641315,0.9679485913335868
2887,0.1393176186513834,0.21369387166936288,0.0324843570479831,0.9675156429520169
652,0.13934929433031648,0.21370068421076066,0.03263270579380558,0.9673672942061944
2305,0.13957829141236433,0.21375006892575787,0.03370518256661896,0.9662948174333811
2835,0.13972774620929215,0.21378242667721337,0.03440513383611664,0.9655948661638833
506,0.13973446461220163,0.21378388359904363,0.03443659856486498,0.965563401435135
1273,0.13976267072404874,0.213790002454164,0.03456869806384929,0.9654313019361507
2644,0.13978674382991063,0.21379522754183264,0.03468144118989899,0.965318558810101
1278,0.14000750278914137,0.21384326456135402,0.035715335831910014,0.96428466416809
831,0.14011538699041348,0.21386681951401101,0.036220596855252314,0.9637794031447476
35,0.14016237382067837,0.2138770947005548,0.03644065330154657,0.9635593466984534
2790,0.14031017040493077,0.21390947962882734,0.03713283855689718,0.9628671614431028
955,0.14036052551193326,0.2139205356793422,0.037368669870422,0.962631330129578
2820,0.14054264208306144,0.21396061619570245,0.03822158812917345,0.9617784118708266
1125,0.14058688973932834,0.21397037669113755,0.03842881602558706,0.961571183974413
2657,0.14081518510634422,0.21402087494780359,0.03949800641122835,0.9605019935887716
2514,0.1408269806301456,0.214023490410709,0.039553249147017765,0.9604467508529823
692,0.14093975835535982,0.21404852839288518,0.04008142832598977,0.9599185716740102
306,0.1414195311479297,0.21415567821303855,0.0423283791240417,0.9576716208759583
1942,0.141701649094164,0.214219164260801,0.04364964025900609,0.9563503597409939
1593,0.1419332637116993,0.21427155045277185,0.044734375904234784,0.9552656240957652
806,0.14204295386063828,0.21429644333365916,0.045248094838517605,0.9547519051614825
1397,0.14205195363022013,0.21429848810221153,0.04529024403863369,0.9547097559613663
1572,0.14210724527561336,0.21431105840262796,0.045549194960123884,0.9544508050398761
2619,0.14245407986079237,0.21439021986358867,0.047173547695479386,0.9528264523045206
2601,0.14249319903943813,0.21439918198396177,0.0473567570625767,0.9526432429374233
782,0.14250679979159894,0.2144022994806917,0.04742045434052793,0.9525795456594721
779,0.1425602407358169,0.21441455690891922,0.0476707377540914,0.9523292622459085
729,0.14301918552279436,0.21452034454118227,0.049820143413043104,0.9501798565869569
2605,0.143298118694689,0.2145850958421699,0.051126489089367844,0.9488735109106322
2267,0.14337370096765137,0.21460270084681718,0.05148046841287571,0.9485195315871243
1714,0.14337932206323595,0.21460401115230124,0.05150679405160577,0.9484932059483943
1752,0.14352431818496308,0.2146378588573485,0.05218586372057157,0.9478141362794285
2624,0.14367374299222882,0.2146728378254536,0.05288567453755439,0.9471143254624457
2319,0.14370204797694347,0.21467947489893616,0.0530182370942028,0.9469817629057972
1674,0.14387285175366726,0.21471960096285575,0.05381817341481852,0.9461818265851815
1376,0.143912202699992,0.21472886377841024,0.054002468234403474,0.9459975317655965
