,Return,Volatility,APD,PFFV,DVN,MFA,MPW,PAA,T,UPS,VHT,ECOM,VIG,VUG,NLY,PYPL,VGT,GOOGL,VZ,VOO,CWEN-A
2256,0.07285039574686845,0.2220759090493943,0.11983685159825261,0.11079625532985003,0.007178493271774113,0.0025172713683548295,0.08292596220864713,0.006183358235792135,0.027126990707713308,0.12863238503407048,0.09561648638125117,0.004033836872170589,0.10069303060655972,0.02595038430710382,0.0467342655587856,0.049822727577843805,0.048658265666598706,0.004886128119364474,0.07355052399795904,0.062449952063788096,0.002406831094120387
2829,0.059977733606730636,0.22302633968100383,0.08974802331891293,0.07111919875246257,0.007320803641638405,0.00784688204735505,0.001911032398444824,0.04011955965930969,0.10370626127554214,0.16056220500143284,0.09156060604710362,0.0009889179814400867,0.019411269612656518,0.0646812448043984,0.031099821373799158,0.059609235351230465,0.0585046647855063,0.02202689439807535,0.11309345884789375,0.0553717119902253,0.0013182087125725359
1066,0.09680655493494854,0.22328668374032665,0.010178429600365529,0.08469582308512891,0.017458433457802215,0.002911654988626278,0.027703087445790045,0.017166464246068908,0.07811600833284271,0.08251058332756364,0.06393257692841167,0.056865697833436694,0.09986423455267911,0.11521951573137673,0.021663146861669695,0.004268150769435374,0.04631191451125565,0.06314067403588898,0.11078368899715815,0.08896929685390063,0.00824061844059918
2643,0.07482124888492542,0.22456141366211707,0.06948763856734076,0.12166873471902552,0.013717030790656259,0.031872941049843895,0.047044698083053824,0.02738704000213515,0.09174713153570822,0.11280932827771113,0.11665419881750959,0.005025735491099045,0.019015372873977237,0.03692045282376928,0.02253792485697822,0.027512967262042987,0.0702893668769007,0.029689075286157395,0.020962192713205006,0.11131411436328316,0.024344055609602597
2616,0.056183576628771756,0.22586573573421986,0.06569171240894288,0.09207051600147317,0.006499438010624605,0.018948976050883613,0.02970409124619203,0.007898292916187181,0.1185724336826735,0.10033190888402689,0.06011374460272782,0.02344738615810838,0.10205712055896592,0.10312425605746424,0.018017794542198703,0.10788556006247663,0.005041375939683815,0.035194444850895,0.05588376196230619,0.028246594864562113,0.021270591199607333
2750,0.08832895410471406,0.2282406522633585,0.07691147307069844,0.07613456756114219,0.0043475083557475355,0.003917707853357088,0.06653497088865029,0.019911017018126878,0.09081100988918904,0.07829059706720566,0.013746534986076576,0.03224174024171096,0.03427933571557844,0.025856649635656787,0.024192647299789517,0.00924765325612002,0.08970361172684108,0.12092723302678036,0.1123928204090349,0.062240791114986996,0.05831213088330726
496,0.10978122931944953,0.22953354869518192,0.014438331297648337,0.07812147120150405,0.012567371970868307,0.02235582820709795,0.022273095660320586,0.00048689321618051285,0.07826502216185009,0.0650653132058252,0.07433100202998391,0.09154882036493303,0.04533781223731228,0.04096785100029115,0.005196488064342114,0.010629793649366566,0.07436222276779393,0.09617458851558958,0.1033085627489119,0.07518160971817986,0.08938792198200053
1495,0.08942925415376546,0.22959346888468718,0.025509360334934342,0.11483185813939563,0.02270567893978084,0.006127401703731386,0.07145352319775851,0.006734329610861178,0.10421255257947934,0.04979170957387202,0.0563173926984137,0.008889858731681959,0.09932942777805694,0.07029320728519887,0.04747844416920595,0.04848907837598593,0.05190392281654622,0.11166001506649594,0.010195581187758242,0.04029865764256761,0.0537780001682752
474,0.08104542608402618,0.23133502927388955,0.04127555583686226,0.0948064413832701,0.02999040245859854,0.02097663521511601,0.044711165876249716,0.03258353656828981,0.11391932881410292,0.00820883279562423,0.08300436281568113,0.014732222155121176,0.1112396360512918,0.006682403784203729,0.03334480648022689,0.006403941343629214,0.12761246158838238,0.12276994230014235,0.05890242505104318,0.016826023835064027,0.03200987564710056
2284,0.06386147404140019,0.23202703800414445,0.05916441088931141,0.06940157499524728,0.003259067761756129,0.004266498682483152,0.0391706504228994,0.03390033449082136,0.07215282318966532,0.05924983199012012,0.09503431621750674,0.012862969870052256,0.010937135788063691,0.048828019793832264,0.10019863447307079,0.030657264941385487,0.10473831863180139,0.05812173363843451,0.09305644269236574,0.08951657452066476,0.015483397010518226
2519,0.05792578347834982,0.2324452459611154,0.03698592941987999,0.0684554448773676,0.0021561724415028252,0.03671810230714434,0.06617857587529834,0.018646172885677104,0.08794102986926487,0.08070343071621604,0.08678544804594358,0.0318417015430722,0.07579489167544755,0.0426485081483188,0.046318424571242335,0.03874567132604754,0.06603777160950795,0.030338835866530665,0.08651193720802756,0.07698199739614145,0.020209954217369323
2212,0.1051067735439081,0.2325919886057233,0.06083379008181315,0.08974625687708268,0.021872220216437904,0.008641532657062658,0.03486586584311386,0.03477073641618859,0.0212816272047718,0.07609301701312446,0.09374198914978835,0.024328653069414348,0.02805093531382991,0.0969440609701376,0.03957667469045191,0.014535775677342181,0.08801281769579683,0.06839904806142295,0.08327172167853751,0.023109256206752436,0.09192402117693085
1831,0.10285002290387074,0.23261370705507145,0.06835994046874747,0.12287091313656291,0.06913059066807437,0.0005420362406735849,0.09201034526312375,0.0027788148839128237,0.10045557654694082,0.04871590208584351,0.11962986351584358,0.00312252424283314,0.00381895502036223,0.06981545571942624,0.003402682598331395,0.007133829291324231,0.06360254624748254,0.02329859795168189,0.0355873291691371,0.10673449502671518,0.058989601922983255
519,0.03551580443447112,0.23338357995882134,0.0728364396482017,0.1325180725926104,8.862347196446719e-06,0.0010173461305238382,0.053278643072475346,0.08677634251874802,0.047499719580873456,0.08323668227978123,0.09440038438101396,0.008035454319918978,0.12164377530252007,0.01529659771205094,0.09745649793363054,0.06366403196858526,0.03779750958944718,0.0024164037579118025,0.0542400003190457,0.011466081016868442,0.016411155528596646
321,0.08078937579192455,0.2340668096686842,0.0677424987565451,0.11384122281708052,0.022911177087150437,0.013128625005841537,0.0324791316476296,0.027680246597542174,0.0405498549521016,0.06500740622002989,0.08000519065478814,0.06410419175078495,0.07845771069864323,0.013573188896388597,0.04620077809991268,0.07516143483161697,0.009892743889536395,0.06303584692829514,0.057697654657734514,0.05591081953332022,0.07262027697505843
