,Return,Volatility,AAPL,COST,AXP
981,0.2400084405997861,0.21196183257064202,0.07914074910600587,0.7636964076611764,0.1571628432328177
512,0.22904906131752825,0.21215274229100203,0.004617666586540384,0.7978665663806461,0.19751576703281357
92,0.24614884742383442,0.21256071912448965,0.10738602204971731,0.7720698511094284,0.1205441268408545
667,0.24269760329753495,0.21257913096020498,0.10998930870147006,0.7297217437013053,0.16028894759722476
64,0.23926876303043934,0.2127238756859358,0.09756587800492061,0.7182241222828363,0.1842099997122431
343,0.22912835503308307,0.21285191153423894,0.029354610513776986,0.7483275777211343,0.2223178117650887
565,0.24807738264519913,0.21299046041338857,0.12889957175475314,0.7489465089691646,0.12215391927608232
786,0.23224754179661045,0.21305950117278244,0.05826737642737381,0.7229120112923594,0.2188206122802668
587,0.23669693588482477,0.21315735552815768,0.09006439786366734,0.7058993405499221,0.20403626158641058
320,0.24976968519262194,0.21327467899748553,0.13291038111693398,0.7589412439090556,0.1081483749740104
273,0.2350788287153015,0.21335860725236078,0.0827149061570237,0.7035020326472051,0.213783061195771
541,0.2507301888699216,0.21354126611752558,0.1264137682374454,0.782484991858271,0.09110123990428358
743,0.24730158131704946,0.21371599196068192,0.07676939379100317,0.846810375480679,0.0764202307283179
41,0.2342710972196119,0.213768793579263,0.08298878247276947,0.6942740731705812,0.2227371443566493
309,0.25076324942781614,0.21383582436106602,0.1572339462536428,0.7200579598028575,0.12270809394349978
567,0.25012176714291695,0.21396914681700643,0.16083307087845172,0.7058408333255,0.1333260957960482
941,0.2470972345897337,0.2140356867389411,0.15470240100911836,0.6858643892427514,0.1594332097481302
618,0.2529945041698913,0.21406811868814485,0.1492311186491854,0.7603099676064867,0.09045891374432802
179,0.24733175845616656,0.21408824746681868,0.15636570910222453,0.6849935083806933,0.1586407825170822
236,0.23190182041626564,0.21415946555342133,0.07139788436624793,0.6924537380666314,0.23614837756712065
129,0.22466918455192067,0.21429088938352345,0.014731004588126803,0.7302523962307254,0.25501659918114783
715,0.2535577151002327,0.21429095726993755,0.16285972661437817,0.7385933817107321,0.0985468916748897
331,0.2541129144368617,0.21465917622876873,0.17641639142818522,0.7169373516203588,0.10664625695145602
915,0.24861079170196063,0.21488569166148005,0.17274216097825293,0.665362981893864,0.1618948571278829
524,0.2559857519803152,0.2150868968302395,0.15549580375300132,0.7796561442629306,0.06484805198406815
385,0.23233490192662745,0.21536798689659287,0.0878098405174543,0.6636705751620001,0.24851958432054563
102,0.2460152449588352,0.21546950158087805,0.04099599508363733,0.9058748450819614,0.053129159834401286
644,0.2354008558013334,0.21549516974280641,0.10969536660828184,0.6519983755562591,0.2383062578354591
