,Return,Volatility,BND,VUG,VOO,VGIT
2159,0.03490006817824103,0.03104472578421166,0.11615133735197378,0.0040415915765439235,0.06854076124993128,0.811266309821551
816,0.03206406348096828,0.034388718876940415,0.2912286496208565,0.00016881661824500024,0.042068040530488134,0.6665344932304104
2397,0.04443897208652853,0.03487459721932726,0.059682250238188024,0.07390770507633014,0.06259714450960248,0.8038129001758795
2050,0.03534672931860368,0.03496157463205981,0.3162787229362792,0.002766363604420599,0.0668952814400959,0.6140596320192044
2887,0.03557745076633463,0.0352017714180805,0.3239339441321266,0.005459557963470345,0.06508865987829025,0.6055178380261129
24,0.0331516124895457,0.035765246405671594,0.3554626541681514,0.00786196773915138,0.03917012396089007,0.5975052541318071
1510,0.035936402143406175,0.03602924067410814,0.34791391568252394,0.030174385233544886,0.034562758713522324,0.5873489403704089
1842,0.043917157906351735,0.03634115540738535,0.1571085135808753,0.04320289612889346,0.09519831283860139,0.7044902774516298
2683,0.04403174155369533,0.03671702989005086,0.1791950999650629,0.05730834338653656,0.0766664747220561,0.6868300819263445
2066,0.04433501357900617,0.037002999354331725,0.14146857546218067,0.010590189746186683,0.14282299099641788,0.7051182437952147
2309,0.04839950709768049,0.03844994042695676,0.05670991812708576,0.1021435668686888,0.060407706086217344,0.7807388089180081
924,0.038488857651005154,0.03887631027927086,0.42514810541977544,0.003817664339693954,0.08946471197378278,0.48156951826674776
2603,0.042491651324003406,0.039296105693830775,0.35606036667954366,0.06895126168685091,0.041035734113324285,0.5339526375202811
2325,0.04397935065861356,0.03970221679308945,0.2845571992314985,0.008313685288610718,0.13745673646398315,0.5696723790159076
2851,0.04373035666729571,0.039894841149014065,0.3406755978550418,0.0669426479089202,0.05528337733838273,0.5370983768976553
2715,0.045998499358489646,0.04028369236298905,0.28843043188625966,0.11964090765054126,0.007336499711337723,0.5845921607518614
1293,0.038677828160254904,0.04050570246051307,0.4863670716319458,0.05753738270543814,0.017523598910838274,0.4385719467517778
2355,0.03536451014586723,0.04063167363366615,0.5341145833137275,0.023248483521270145,0.031876516139287124,0.4107604170257152
1079,0.04592262812507678,0.0408498313663274,0.24714054218165854,0.014213544787184854,0.14826639730884095,0.5903795157223156
544,0.0487482127323937,0.04161251211748728,0.09939215306610445,0.010680806802485981,0.18348861418112877,0.7064384259502808
1590,0.043247990941182965,0.04163596210067308,0.42206232925447307,0.05587616880183638,0.06272526932848427,0.45933623261520623
2843,0.04713090920891468,0.041701760752559464,0.2988904500111878,0.10092061166020062,0.04190160242499077,0.5582873359036209
1710,0.037161832407905306,0.04242564570376351,0.5782040255222384,0.0217039199191012,0.048302432789039985,0.35178962176962036
22,0.05169149541597281,0.04253038394000014,0.059883025849019056,0.09872250305143801,0.09411497799704391,0.747279493102499
438,0.05001113245363202,0.04265507753229158,0.19987094001304345,0.10975010040474424,0.05940184406902852,0.6309771155131838
2391,0.049625667307418755,0.04270699040428846,0.1982729964853958,0.08076229605588886,0.0945522312635582,0.6264124761951572
2838,0.04604837932210794,0.04336885497516069,0.3378961832058701,0.003834044469836194,0.1598613408297383,0.4984084314945553
1715,0.04943189559453402,0.043627105863284145,0.19433237224244754,0.03243043709078231,0.15719816602788225,0.6160390246388878
1721,0.050853783709169986,0.044089562240342474,0.1815951860077196,0.07481964468967967,0.1139806502009227,0.629604519101678
621,0.05073187358722492,0.04418684886390366,0.18692391510664808,0.06876975414161575,0.12074107123405844,0.6235652595176777
1134,0.04200068157220699,0.044210797624229095,0.5553292563013156,0.0695808839996894,0.028551599561766516,0.34653826013722844
966,0.04846456369161423,0.04422632405745107,0.3057489215678206,0.05220437884734051,0.11824782793752017,0.5237988716473189
1489,0.03582111552549655,0.04447935045076269,0.6635225050671946,0.007829799859377566,0.051697852788747826,0.27694984228468
201,0.05073353957676053,0.04454868837980776,0.19547441631016296,0.06159560718542209,0.12997674749395802,0.6129532290104569
2608,0.033762623394460047,0.04473411434056761,0.6896913686238353,0.0006373675916340496,0.04199213659238841,0.26767912719214226
2625,0.05114267906162024,0.04495039718318013,0.22363297348224714,0.08875223297010978,0.09649975514651665,0.5911150384011264
1069,0.04148507688791963,0.04515478890073573,0.5985422138142605,0.062041889161277924,0.03240524828104638,0.30701064874341494
1878,0.049398139505339424,0.045211032554373455,0.2500603816415708,0.01728412053176975,0.17498873597177475,0.5576667618548847
398,0.04023398711641867,0.04534137534929542,0.6289567469891928,0.050194795546704425,0.035910296792523604,0.2849381606715792
849,0.051041328489525695,0.0454310751948853,0.1983526854201403,0.04769805454321439,0.15107649521199962,0.6028727648246457
2200,0.04274238808115439,0.0455129379697325,0.5566087366925135,0.014674267388061329,0.10806323057673527,0.32065376534268997
1511,0.04354351030133931,0.04552098116837099,0.5453258628985742,0.03610414173414313,0.08712339399183756,0.33144660137544507
1236,0.051429463998352284,0.045551208193536925,0.1120480411200406,0.013399245287459645,0.20325942122699356,0.6712932923655062
1883,0.035284152433429,0.045570092933854695,0.7048109697862062,0.017150753958997764,0.03302771539503961,0.2450105608597565
2812,0.05066325224063326,0.04560385281786233,0.23995357362010783,0.05275704346188402,0.13947146101677754,0.5678179219012305
66,0.05175520352125039,0.04576385570888211,0.28572646227623444,0.15492944741002712,0.01173954443578635,0.5476045458779522
420,0.04921839301464699,0.04578256063965928,0.39335452624765643,0.12308404428181503,0.027563324887862176,0.45599810458266643
1274,0.049028251430174224,0.04591879171165261,0.2851923029498426,0.004199818112090714,0.1878024011196868,0.5228054778183798
2970,0.054550621122282594,0.04608746046383544,0.05821150763290668,0.11316090824310361,0.10041726414474404,0.7282103199792457
2664,0.04376485056430387,0.046420649153184564,0.5848601778686332,0.06528359082219921,0.04887255376949665,0.3009836775396709
2396,0.04863794136054819,0.04644201730448194,0.4364867215356847,0.10809068224555661,0.040748863030071664,0.4146737331886871
1404,0.050760170894248294,0.04693907372084928,0.29571381555644405,0.05243231054522348,0.13872750832631306,0.5131263655720194
333,0.05335573804394865,0.047156701863261125,0.2579263917898472,0.1531144526100958,0.02940145340007207,0.5595577021999849
2106,0.04956446955686593,0.04725380453758643,0.40316278967724184,0.07770796119627478,0.09058026160505811,0.4285489875214253
556,0.046252375545083976,0.04727374609422903,0.5247912515792618,0.05174078243519472,0.0911863175691148,0.3322816484164286
1819,0.055538643010791366,0.047353676350406416,0.07247142614925882,0.1275857193153058,0.0895149093940202,0.7104279451414152
2600,0.04950894793459787,0.047361723452661375,0.39461168568029825,0.061942773018358814,0.11134832334974352,0.43209721795159944
2117,0.047933347979835374,0.047365412672768115,0.44507639198319665,0.037238034852874954,0.12832048084698028,0.3893650923169481
2574,0.05351973594984799,0.04748540634840238,0.23830473484006978,0.12723586629622768,0.0659653844110543,0.5684940144526482
2065,0.04469247286814289,0.04751950989396785,0.5974153532634939,0.06945018291785567,0.051126846495601064,0.2820076173230493
1248,0.04923228489699765,0.04760014137823621,0.4577647687770434,0.10960462267408673,0.0432453770743321,0.3893852314745377
606,0.048287815503024904,0.04789271093480766,0.47061913608392647,0.0591358378655403,0.10144097203931335,0.36880405401121996
702,0.05166589675371848,0.04807590319576635,0.3741783905767406,0.126417125986426,0.045601649715417705,0.45380283372141567
69,0.05152064346858243,0.048200494276092645,0.37817279090732864,0.11587776187605897,0.05816901074752041,0.447780436469092
1020,0.047888592851849654,0.048330140309526495,0.514133194836127,0.07115368135460144,0.08033077208479171,0.33438235172447983
88,0.050126601983438546,0.04882500392963611,0.4773904169951903,0.12549383550229734,0.029367651024147134,0.36774809647836515
1625,0.05266153024588712,0.04884416672079858,0.28846053663019855,0.07052459057661752,0.13186047651008664,0.5091543962830972
2074,0.055238310522108626,0.04887437369195004,0.2281405491553689,0.16088822924482243,0.03690228208989632,0.5740689395099123
2217,0.04817007287764099,0.048874646776709496,0.4545609359534951,0.004648426339694808,0.17338556750773582,0.36740507019907426
335,0.048621243528360086,0.04909723271342189,0.44006125726980205,0.00412631376318648,0.17862164069627345,0.37719078827073793
359,0.05625447461252806,0.049172514448873106,0.19975734794297131,0.1896434204213262,0.008765572284521335,0.601833659351181
2630,0.04928683566493344,0.04923734052768041,0.4057999139014632,0.0005702989040306105,0.1905182978628003,0.4031114893317059
2852,0.05141690248471415,0.04932208649458036,0.4245400527458781,0.10930318151741562,0.06428874748145469,0.4018680182552516
1929,0.05037675380871211,0.04951523587132707,0.43013489101534813,0.05534557054701256,0.12653476460276106,0.38798477383487817
1746,0.0430030883714834,0.04969308086392388,0.7040449291130033,0.0400823487253322,0.07123137125819924,0.18464135090346528
