,Return,Volatility,AAPL,CMCSA,VTI,VUG,VYM,VHT,COST,VDC
1668,0.1962189994877744,0.18511410580416307,0.006812936138033634,0.03851872868104096,0.03771905512902064,0.061823928838570796,0.1254988622968503,0.23266533654975657,0.2537737176050913,0.24318743476163585
2211,0.198252919652395,0.18631669545322077,0.039750874323139174,0.09185171052395506,0.08754396322593215,0.0289611033926693,0.059571418474982735,0.14898064764498037,0.20907107937885155,0.33426920303548974
1927,0.20725874682441203,0.18736099801440176,0.035405754075723106,0.009414682390058876,0.06399488924947279,0.09461233641482161,0.014823663911217486,0.2757800198382705,0.22780563429702902,0.2781630198234066
1143,0.18466824403464416,0.1886650604446535,0.002805650216845794,0.14379750448237372,0.11140673028027366,0.02927268630290159,0.09857581072050005,0.1920493712272748,0.20094192275254374,0.2211503240172865
1165,0.2092758873145863,0.18870491085240593,0.05077739822249605,0.06845943725355519,0.05349565659059379,0.009157638563345609,0.2315104658660769,0.07678556329205026,0.28323268907169774,0.22658115114018446
2875,0.20104833024478988,0.18870740154369647,0.007969841246798686,0.036196371815627716,0.06298935731913177,0.1376754956516052,0.15235046194896515,0.13565942204486184,0.22946149503623814,0.23769755493677155
1442,0.1813048880553592,0.18954339332622477,0.017321904922429757,0.1574054602770477,0.029218541385986056,0.05598838364569267,0.11307652297287434,0.23658695484199554,0.158414525384125,0.231987706569849
1559,0.227284919619634,0.18972303771645604,0.06578195517917089,0.07664387302624151,0.03129298834725817,0.0089547194997345,0.16897725575427783,0.07232569335396849,0.37462794583335474,0.20139556900599373
1347,0.2115587644461176,0.18973804867840088,0.09466742194068334,0.03420999530146624,0.034103591964790674,0.0021077733525334268,0.18981752016323436,0.17482424370487196,0.20731666433084017,0.2629527892415799
962,0.19847435413524084,0.1897496949944601,0.028456774486784627,0.007081316155458239,0.18997840634356583,0.046679380195402215,0.12893466409408075,0.15705386309691602,0.1820976938727846,0.25971790175500775
2656,0.1863523624520653,0.18989828000857273,0.0026791003889968796,0.043160202480784275,0.18821984366686587,0.002494130879919446,0.24629340288519827,0.12398027964962476,0.19603482402249092,0.1971382160261195
908,0.18461139643485283,0.18999757899378586,0.01098077353327944,0.11900607184839468,0.1660740113791667,0.03375725230923623,0.0558060968004098,0.22945636011133805,0.15831070478472972,0.22660872923344538
1752,0.199998083542163,0.1901349371462776,0.007165672472642262,0.039259333127544496,0.041687760160934756,0.22095938013026983,0.07236658843814907,0.1589551103894814,0.17627934974716847,0.2833268055338096
1283,0.21694516098897848,0.1901488052083753,0.06199726974780636,0.012870719110059053,0.059024629431541825,0.07878579976175847,0.20036120003891938,0.06939836668644447,0.25466939420324625,0.2628926210202242
28,0.20873912717765605,0.19018818890097247,0.03387886564356903,0.17736633910500044,0.009471477092222727,0.03525027867541978,0.1484449037382031,0.037660140508990934,0.3269345002798578,0.23099349495673632
2190,0.2132452124114966,0.19021553118553716,0.030043202818688552,0.04623036057575166,0.015889453299851766,0.18229329053042867,0.09949347445833953,0.13279497138355248,0.24810219406514739,0.24515305286823993
2827,0.19605847565622483,0.1902717309807325,0.021852790136315064,0.20487305603622688,0.0634251000060714,0.004052065211508334,0.020489500782376817,0.26010291438083083,0.2709892858444287,0.15421528760224196
2695,0.18524484193447757,0.19030198452647026,0.012639396275837518,0.10912165302515735,0.07860732403105879,0.056464275156209616,0.18414470543158626,0.19088605216322094,0.17440525801440263,0.19373133590252697
1592,0.17807896383343627,0.19045600326070022,0.009384349454731282,0.14193139619377731,0.08678574754245887,0.0023800623076902358,0.19694775316546353,0.2164529224149088,0.1711676027394415,0.17495016618152856
2224,0.21117401868640456,0.1905896161820265,0.0634220412403042,0.1133514511995386,0.09704788412296958,0.06854476846756247,0.05268065300521423,0.07335310616131466,0.21927210952792572,0.3123279862751705
1005,0.2093238535659146,0.19066188429156147,0.06418495823857842,0.04665287073683211,0.03282588553539374,0.051624923726521436,0.1918110280549484,0.20159153792489576,0.22900234027106478,0.1823064555117653
2024,0.2062104592794074,0.19069526782203605,0.006381885838033359,0.02660868217863304,0.2388838646054701,0.05435612862558571,0.151142478080004,0.05491760497877634,0.26478551172802456,0.202923843965473
2487,0.17973717839239606,0.19074621494447921,0.007922310971366106,0.22558277202747753,0.030328943189065035,0.03815942633800955,0.09660691590729871,0.17774989542989694,0.18945224512306616,0.23419749101382004
2290,0.20168652261361145,0.19086884831655404,0.021522313373956214,0.0672597962699636,0.17423758223676108,0.06610988757324053,0.06902838920035367,0.19747074334716286,0.2173774208872716,0.18699386711129043
1487,0.2045817680788326,0.19090116735700297,0.000797803771008723,0.09756452321952153,0.0067977433903600734,0.12192245103488036,0.24082701075728236,0.12408144504138409,0.3073369661619953,0.10067205662356758
2092,0.1938671837483079,0.1909561276297445,0.029496611714101572,0.10284825990996727,0.17445870890218004,0.013941942771619238,0.130304651897887,0.14955779320145,0.18993596611302008,0.20945606548977488
2383,0.19676870199835012,0.19103159969326022,0.02443524874993026,0.13194111052990562,0.02611084147722076,0.1395604306725878,0.11427253677672797,0.1289312024573768,0.1900254937551698,0.24472313558108097
19,0.18650882392176052,0.1910438634265134,0.006355907536400097,0.1818305184313245,0.13534013871691833,0.020005582789621338,0.09520696097598924,0.15754268656058087,0.21010374954486513,0.19361445544430048
2249,0.19369367811994279,0.19110726673343167,0.03243524974002963,0.1819327761063648,0.020374701914538385,0.10167988063061874,0.022456649983009485,0.21520205530803974,0.18202964827798354,0.24388903803941572
2463,0.20345453569938157,0.19120958681953173,0.02007377684518268,0.13728928686069994,0.08225070782602505,0.046755177249793625,0.20324233141796746,0.049750507507284866,0.2885418411374697,0.1720963711555765
2131,0.19731182461716448,0.19121578047525165,0.006196387060506848,0.1406348967781713,0.03811765184095939,0.03587719456930486,0.25222185869039526,0.15305272046227347,0.29949409244178204,0.07440519815660683
1355,0.18681475639325693,0.1912773650347329,0.0009235321797791546,0.22523370509337007,0.004033571630637096,0.05335442008935771,0.1327619253480105,0.1714733983085569,0.2502682863417114,0.16195116100857718
1507,0.20904210179564725,0.19137697668940787,0.06970720219640208,0.11555054112863189,0.010437235869002899,0.06397537273160062,0.19025594033626347,0.07613581147346922,0.22610747881467438,0.24783041744995543
2302,0.19138468021015753,0.1913897404100751,0.029033650080721406,0.16589545450433302,0.11511255117846186,0.0023876459051412648,0.172929451895431,0.07423601488540504,0.21165738439653736,0.2287478471539691
900,0.19632326701957292,0.19146677192714562,0.039286433538690164,0.13007050762618225,0.13344200608130233,0.04451817157405347,0.052501826268241535,0.20345260153170966,0.17940505026534248,0.21732340311447806
1939,0.19043110267540533,0.1914971413415078,0.006181451658927012,0.17914154678857772,0.1554017661757261,0.046682305970494116,0.04365464237228991,0.15735267897222793,0.2111750146526387,0.2004105934091185
993,0.2111589440282473,0.1916019515513032,0.006908387988361192,0.06263533726696273,0.22894220902370388,0.1333335967618505,0.0012905971859791326,0.06397772856140385,0.2499089709393033,0.2530031722724353
1307,0.18914146219724362,0.1916784204885939,0.006876578724750431,0.015019974263654019,0.12451828259703407,0.024868266255201412,0.25098345967287344,0.2914473614423665,0.20496704998863144,0.08131902705548853
2062,0.1899917340096995,0.19169298190155928,0.020053439318928255,0.05187279147367088,0.1451287372820408,0.06633395228233917,0.1417863813672914,0.23445830187681216,0.15273086569982824,0.18763553069908906
1162,0.20242539509685753,0.1917108253893482,0.006102273315195821,0.05230801136856424,0.14151219249288485,0.17852782167099976,0.021679407894955368,0.17121456823750095,0.19100809010948008,0.23764763491041893
137,0.19533381440158193,0.19177568677695325,0.044000388382326866,0.20144832040221608,0.07785229006491884,0.022138048747189172,0.04591549408077828,0.1794644498364964,0.20458257813164266,0.2245984303544318
526,0.19487399027221294,0.19179483576690864,0.037179560436204975,0.12546069748196062,0.03303705615504388,0.13652619056632243,0.04656157917285096,0.22816103413207306,0.14612557045498042,0.24694831160056363
1756,0.19439763691405207,0.19188402518829606,0.08325387037157247,0.06462490817981884,0.0017695970848117598,0.054947821789310416,0.10874077676781113,0.3275750427805887,0.097076782461394,0.2620112005646927
1432,0.20780928393216527,0.19190613469608292,0.06028697054537218,0.005744973125754924,0.1636903895196824,0.022534559920626106,0.1509385781664453,0.2004518328733424,0.19845786417432654,0.19789483167445018
1633,0.1892217905923189,0.19194094252156316,0.015969862459815975,0.12106650484332157,0.05574857141434961,0.1509671316831221,0.060140409694468995,0.22695474960250991,0.13840787574120247,0.2307448945612094
825,0.20644292691491956,0.19200324451827194,0.028341904611358135,0.1800699210883593,0.1538437469749209,0.022903855222337653,0.02234927696323934,0.13469536113294242,0.283309516650841,0.17448641735600132
1714,0.20081733112311678,0.19214579050650604,0.027047965595914648,0.012815915635952874,0.055544066389229645,0.13119654407922307,0.20960666850418413,0.2089106158328544,0.1915213371906716,0.16335688677196966
68,0.18845696791415517,0.19226947734118033,0.004446052837199491,0.14237646463827897,0.07033151602943072,0.1579544969101984,0.05336873480281267,0.19738992086811824,0.15253869331803926,0.22159412059592215
1427,0.20035714374617788,0.19238394989067306,0.05056343052339383,0.026398471845940734,0.07130234458012187,0.09134384245584169,0.21240277703427093,0.1767134136291367,0.1610284322140143,0.21024728771728
681,0.2059588796248113,0.19241367706676316,0.04322464198858698,0.11310495869987454,0.09404913588088076,0.048897784825871725,0.12140548081089493,0.211895919123717,0.2427785670939274,0.12464351157624669
