Date,Adj Close
2017-01-01,823.47998046875
2017-02-01,845.0399780273438
2017-03-01,886.5399780273438
2017-04-01,924.989990234375
2017-05-01,994.6199951171875
2017-06-01,968.0
2017-07-01,987.780029296875
2017-08-01,980.5999755859375
2017-09-01,961.3499755859375
2017-10-01,1105.280029296875
2017-11-01,1176.75
2017-12-01,1169.469970703125
2018-01-01,1450.8900146484375
2018-02-01,1512.449951171875
2018-03-01,1447.3399658203125
2018-04-01,1566.1300048828125
2018-05-01,1629.6199951171875
2018-06-01,1699.800048828125
2018-07-01,1777.43994140625
2018-08-01,2012.7099609375
2018-09-01,2003.0
2018-10-01,1598.010009765625
2018-11-01,1690.1700439453125
2018-12-01,1501.969970703125
2019-01-01,1718.72998046875
2019-02-01,1639.8299560546875
2019-03-01,1780.75
2019-04-01,1926.52001953125
2019-05-01,1775.0699462890625
2019-06-01,1893.6300048828125
2019-07-01,1866.780029296875
2019-08-01,1776.2900390625
2019-09-01,1735.9100341796875
2019-10-01,1776.6600341796875
2019-11-01,1800.800048828125
2019-12-01,1847.8399658203125
2020-01-01,2008.719970703125
2020-02-01,1883.75
2020-03-01,1949.719970703125
2020-04-01,2474.0
2020-05-01,2442.3701171875
2020-06-01,2758.820068359375
2020-07-01,3164.679931640625
2020-08-01,3450.9599609375
2020-09-01,3148.72998046875
2020-10-01,3036.14990234375
2020-11-01,3168.0400390625
2020-12-01,3256.929931640625
2021-01-01,3206.199951171875
2021-02-01,3092.929931640625
2021-03-01,3094.080078125
2021-04-01,3467.419921875
2021-05-01,3223.070068359375
2021-06-01,3440.159912109375
2021-07-01,3327.590087890625
2021-08-01,3470.7900390625
2021-09-01,3285.0400390625
2021-10-01,3372.429931640625
2021-11-01,3507.070068359375
2021-12-01,3334.340087890625
2022-01-01,2991.469970703125
2022-02-01,3071.260009765625
2022-03-01,3259.949951171875
2022-04-01,2485.6298828125
2022-05-01,2518.570068359375
2022-05-05,2304.330078125
