,Return,Volatility,AAPL,AMZN,GOOGL
318,0.19783615605882773,0.3078441742158432,0.1793309391652426,0.3101533704765234,0.510515690358234
1193,0.1955620080637441,0.3078479694669475,0.1651565468729635,0.31715161724540114,0.5176918358816354
2966,0.19483901899870731,0.3078594444588981,0.16995765227711193,0.32558861095460856,0.5044537367682795
1950,0.19893582412248637,0.3078846161063069,0.19372484870900783,0.311801775558038,0.49447337573295413
1034,0.1936415698336649,0.30788785709845035,0.1680180253362723,0.33296039572632785,0.4990215789373998
2989,0.19556916302031144,0.3078916248712822,0.15429048084388605,0.30984736425033693,0.535862154905777
3,0.19575520505112723,0.3079031318139428,0.15327894624881921,0.3078257698884533,0.5388952838627274
2323,0.19394816565929876,0.30790437198047305,0.1736379422059421,0.3344924197969754,0.49186963799708255
876,0.20065630780698124,0.3079060422288821,0.19974457340704305,0.3033678295015351,0.4968875970914219
2616,0.19698632533213753,0.3079098135568675,0.1571961511307708,0.3015302138345144,0.5412736350347147
936,0.1919401110318674,0.3079120521248413,0.1546194868468716,0.3363317208054583,0.5090487923476701
2416,0.19153970761736677,0.30792358993598573,0.15270048148494922,0.33794876040987254,0.5093507581051783
2562,0.20225037918638458,0.3079258689780383,0.20026980892605944,0.29218152167510064,0.5075486693988399
1205,0.198469640979482,0.3079292647715096,0.1985636846073909,0.31840535468565767,0.48303096070695145
616,0.19492100488713418,0.30793052605470494,0.1472765561423601,0.3098569308306256,0.5428665130270143
2682,0.19421429678464977,0.30794130114474305,0.18027969634684474,0.33699931878363004,0.48272098486952514
398,0.2030846325479177,0.30794969150569323,0.19912965858457216,0.2853827434923977,0.5154875979230301
2465,0.19215675249563735,0.30795246980138746,0.1394862128821842,0.32466322381147755,0.5358505633063383
708,0.19383478127875506,0.3079541003244048,0.17939698823600972,0.339156853444017,0.4814461583199732
2603,0.19770721917376324,0.30795954607398507,0.1551837686465715,0.29496969511183696,0.5498465362415915
874,0.19280051103932838,0.3079612915333602,0.13893870694249988,0.3196386814713741,0.541422611586126
474,0.19038202776128713,0.30796208215969073,0.14695037109730708,0.342489443191373,0.5105601857113199
89,0.20142233162275566,0.3079670336108303,0.1761695299814969,0.28208886099955305,0.5417416090189501
476,0.20375772113646168,0.30798430228933976,0.20916686120492445,0.28721060915170465,0.5036225296433708
