,Return,Volatility,VYM,VTI,VUG,VGIT,FB,AAPL,MSFT,GOOGL
2560,0.22673784212307885,0.17772095858309536,0.047866425227981575,0.1324395799445021,0.1315566302259616,0.2850466729115131,0.01430253218079615,0.14461395360172477,0.09109065148485535,0.15308355442266536
1700,0.19046731750588902,0.17817231926006527,0.21664949055021382,0.11516345188240538,0.16544897103080144,0.22051670521364178,0.035722360538294036,0.011423786389266291,0.07097942371778042,0.16409581067759668
2594,0.2116930821671464,0.17819471470477963,0.004515322467610343,0.1526028104880215,0.1950981890847108,0.29052170523578436,0.06867710306888815,0.10541600716174832,0.0980895372285576,0.0850793252646791
2175,0.19472507282358234,0.17834329615387076,0.014389816855942995,0.05687138125593126,0.194728921758836,0.320894168822146,0.12160869491555737,0.0010279096466739028,0.25708218260611393,0.03339692413879863
835,0.19732481274252267,0.1786990766088894,0.1366244855995581,0.19873000174212951,0.11980902949148979,0.23797111647284888,0.06551873778401782,0.07161383810919589,0.06308360799775434,0.10664918280300573
2569,0.17513597838879574,0.17873119924645822,0.22605016647959628,0.22529150618829413,0.06941120507369825,0.22263458678384268,0.11197001088116307,0.02717583259942321,0.11544206734614963,0.0020246246478326352
169,0.18845555482949974,0.17873856745440367,0.19214483401235485,0.22015436251227866,0.11343159318680808,0.2174368577369742,0.057632528820506214,0.039035229896115416,0.0805877143938602,0.07957687944110259
2223,0.20969134729942573,0.1788750183256672,0.05381870135423906,0.05985148558214711,0.23537693807334184,0.27661894952693644,0.043506406964585555,0.05266006377467875,0.08118849765905432,0.19697895706501686
1659,0.20995411742528616,0.178965720161199,0.15651776778485452,0.12450501134338378,0.11393176637251204,0.25235142922768533,0.06640172273944231,0.14331836549006371,0.04707330326439813,0.0959006337776603
1514,0.17373589099303643,0.1790920395569818,0.34319667128974063,0.11482235578616082,0.013768939079295247,0.21627637159589513,0.1371625303531916,0.06823889421177037,0.05057870654785251,0.05595553113609365
2887,0.1789624712777152,0.17910192039836442,0.12366794514083833,0.0931015885845342,0.16694006733648206,0.26770555662754203,0.1483392785253676,0.015700254235412808,0.07373105704402806,0.11081425250579487
2744,0.19733947789996026,0.17916527343821587,0.2126338851773515,0.06823727474169675,0.17788991384253047,0.22480578216731226,0.013376651728619585,0.001446505694381436,0.09482982557530321,0.20678016107280478
