,Return,Volatility,VYM,VTI,VOO,VGIT
1263,0.05339231120931133,0.029099034858757502,0.016515369130238607,0.035371030742565236,0.010206737850630813,0.9379068622765654
35,0.05137806848454251,0.031771784330912316,0.0056679307628578176,0.001604330526433581,0.02043413560796241,0.9722936031027462
1438,0.061935821831306456,0.03795200356699636,0.03127171788053861,0.059952065949079106,0.09224390791042456,0.8165323082599577
1362,0.05925329380216344,0.038984789541490164,0.07690806146934047,0.04256607263847593,0.07387557990694366,0.8066502859852399
300,0.05792643918491597,0.039198822008710735,0.09739065942760354,0.044772095697139615,0.053631922567757756,0.8042053223074991
580,0.060217028717198876,0.04873640062210951,0.1231738659777598,0.10035671560508029,0.023356774357648973,0.7531126440595108
704,0.06856608079561087,0.052493015005814575,0.022150302476549488,0.08143704687510435,0.15449961631834558,0.7419130343300006
109,0.06580446274165544,0.052531513379380994,0.058947596383388236,0.0032239613612718506,0.19904287045273336,0.7387855718026065
330,0.057263194762543566,0.05620701443019477,0.2014742375270943,0.06239237424654733,0.02125687490815162,0.7148765133182068
1264,0.06344047709520742,0.059839981981980844,0.13485785033819947,0.08759525380398232,0.0769646613778554,0.7005822344799627
58,0.0671951933106075,0.06115917922931466,0.09316853972182233,0.19578411609250773,0.01402712885129278,0.6970202153343771
6,0.06797626494334831,0.06124371533407183,0.07921869214439312,0.12919933504395373,0.09413809979636667,0.6974438730152864
289,0.06763853138398868,0.06148303598923222,0.0888631915900441,0.20477124389072765,0.010512801824958768,0.6958527626942694
1973,0.07213930477875925,0.06222494008575261,0.0277683612307879,0.2150502494090521,0.0602057845868349,0.6969756047733251
1670,0.06047011434317852,0.06385297492282375,0.19470792789337785,0.05532628765632858,0.06970328615448272,0.6802624982958109
1105,0.0580972185308881,0.06618571236224745,0.23662237257949228,0.012698860958740022,0.08179194540465266,0.668886821057115
408,0.055369932782659254,0.06945920093600196,0.2896632997232355,0.018737538444433044,0.038026933272939226,0.6535722285593922
784,0.06626383740142397,0.07175549130874533,0.14936642283268373,0.007175624197790048,0.19590863816130039,0.6475493148082259
1743,0.07684089338599497,0.0722760160710574,0.0088539387188612,0.1946300011484223,0.14220719970527324,0.6543088604274433
379,0.07536488615815519,0.07262162270103233,0.03401862042775262,0.2309877815384915,0.08419912112477515,0.6507944769089807
1955,0.06266898036796607,0.07420677078138961,0.21397425889873886,0.05792473733688677,0.09387689779415088,0.6342241059702236
1403,0.0739978489022645,0.07600743125789597,0.06926595504808995,0.20414505943720404,0.09295176817455708,0.6336372173401489
438,0.05641090936104454,0.07601333296157588,0.3066768199869304,0.025130304548266213,0.043663631625230556,0.6245292438395729
816,0.07003812669300523,0.07650622816209104,0.12025318903684981,0.03959086022930494,0.21157692454132104,0.6285790261925243
1572,0.07768196573219374,0.07709931176128314,0.011161736835125972,0.014916151164785516,0.3402013520610856,0.6337207599390029
360,0.07813141148517384,0.07712090409347101,0.009304131069544476,0.10237293402129907,0.25479031291099175,0.6335326219981647
478,0.07722006803770186,0.0792776048910915,0.0414525279294686,0.26546013463945556,0.0713992509917537,0.6216880864393222
971,0.07754681759603163,0.07946299354963605,0.026567000121965056,0.04877745744183358,0.30234310305854095,0.6223124393776603
1548,0.059437557559802984,0.08097003546713741,0.28766709639997734,0.0085914094675559,0.1003574427848832,0.6033840513475834
930,0.0780889562267188,0.08131326835069358,0.03682717624867984,0.22678903901533887,0.12301178678322808,0.6133719979527532
343,0.07824229583671141,0.08249411515725284,0.03619975749313963,0.14494132350415104,0.21035853908064178,0.6085003799220675
1038,0.06714888651844676,0.0825345387385989,0.1877740012233867,0.003059803384455388,0.20937976713687376,0.5997864282552842
1088,0.0652954724383733,0.08261596630587509,0.21839141906740991,0.08750333081731053,0.09613511545618528,0.5979701346590943
762,0.06691306216036726,0.08426274960160265,0.2018118164005726,0.05458740310750656,0.15189086016346617,0.5917099203284547
952,0.0788794543498744,0.08585928227042627,0.05186443685459641,0.3189021543745415,0.03616887824820234,0.5930645305226597
1203,0.07715705325712899,0.08594861119064261,0.06820515965216385,0.13715298045943378,0.20298893093638654,0.5916529289520159
771,0.08173905424159218,0.08601785165422217,0.008135404770119464,0.2627107878549666,0.13342353947364505,0.5957302679012689
1832,0.0816734043556636,0.08633487724708028,0.0006053609857753323,0.06854268205461408,0.3355090174680713,0.5953429394915393
546,0.07577024493433385,0.08643058266840163,0.09065255440377189,0.13993995644718812,0.1812729162700099,0.58813457287903
861,0.06869417292616431,0.08652303613275578,0.18466211956138298,0.002682285382604576,0.22955870462906686,0.5830968904269456
1829,0.05998589180279662,0.08683774507312221,0.31196175899702666,0.10378458762682759,0.006731601281149671,0.5775220520949961
166,0.07639862453811576,0.08733039627005541,0.09249890814943369,0.2722270585712405,0.05117750550643033,0.5840965277728956
1880,0.06339993898102633,0.08737861662287963,0.264704243282298,0.04659201565680986,0.11225865243731856,0.5764450886235736
1530,0.07856401784621063,0.08761202988900384,0.06376129994877917,0.29607101922214707,0.05533940605367161,0.5848282747754021
1376,0.08047081655457307,0.08772598466496889,0.032125126558002565,0.20606264383269493,0.1751204809724682,0.5866917486368342
827,0.07139828470472392,0.08782969121496569,0.1580720410002669,0.10885281453882988,0.15457910752278006,0.5784960369381231
1972,0.07528780399449139,0.08788746914403141,0.09997455707438589,0.0527776939060817,0.2655579255107727,0.5816898235087599
1244,0.07493870708840385,0.0879878308235051,0.1066066222566515,0.07469672959029858,0.23790920607319063,0.5807874420798593
960,0.07225797699670983,0.08823890508613812,0.14937879730001857,0.1399842223546793,0.13348951428168887,0.5771474660636133
100,0.08269660193716497,0.08823969859160373,0.004170933761633719,0.24830511492641832,0.16081765265870074,0.5867062986532472
1443,0.07319242188592479,0.08833757057883504,0.14129692554176776,0.23510900798050854,0.04657171621030765,0.577022350267416
606,0.06743010478775438,0.0883629379918293,0.2141137776596384,0.06396077952856472,0.14801956758376064,0.5739058752280363
1087,0.0709692044493902,0.08884038610355582,0.17069010100663481,0.1449219902523868,0.11083574759190547,0.5735521611490728
1052,0.07737767145636006,0.0889163518194523,0.08404349600695658,0.23345137130629406,0.10450288814025879,0.5780022445464905
875,0.07129432861149668,0.08906719634460156,0.16858599214376574,0.17354225770860626,0.0852254931948372,0.5726462569527908
899,0.0605029530797618,0.08996415856386646,0.31949883326216433,0.10924536944222742,0.007196652975232092,0.5640591443203762
566,0.057779873126111714,0.09040943056466838,0.35561358827797157,0.04895442709666407,0.033573121552328423,0.5618588630730359
1224,0.07263987962889756,0.09107918284650798,0.15321251757273893,0.06141797723100799,0.22007645223928596,0.5652930529569671
1980,0.07964470228556032,0.09179768936352463,0.07027508041811471,0.3403240976949094,0.022554868050220528,0.5668459538367554
1788,0.08180901665343347,0.09280438124747166,0.036402752753387564,0.19426808771458762,0.20418224069769023,0.5651469188343347
1266,0.055640112763949215,0.09309332752419737,0.3953007379336815,0.020307323131356088,0.034159590643228356,0.5502323482917342
968,0.07340367365636132,0.09314069807431707,0.16155609395913303,0.2507843812794055,0.03181892301725095,0.5558406017442105
979,0.08019440309688128,0.09421822517442928,0.05923665914991013,0.053998292613223184,0.3287602200800283,0.5580048281568384
372,0.07537027911302936,0.09482478053371726,0.13840486593103654,0.1889787920718899,0.12248941427848438,0.5501269277185891
1282,0.06544724366606083,0.09546408597450146,0.27178461972451506,0.01364463509997067,0.172234990981483,0.5423357541940312
981,0.0805364557801773,0.09572191985425024,0.06412255146843222,0.10524641600297187,0.2793897140398786,0.5512413184887173
657,0.08285643266548454,0.09685136466237562,0.04112229616888378,0.2072694691003262,0.20366669642660265,0.5479415383041873
1498,0.08083815159580515,0.09700347239571747,0.07562676501329825,0.29728051642586156,0.08231380414108608,0.5447789144197541
1422,0.06550929410827072,0.09703526174822362,0.2823579501889206,0.09706848860852765,0.0854459488719534,0.5351276123305982
535,0.08055476541326739,0.09745813768294162,0.08101245257012994,0.2801510585085945,0.09629331460794548,0.5425431743133301
1404,0.08591753751866794,0.09752831497807017,0.010923711688357573,0.4333403309618445,0.008357814312599231,0.5473781430371987
1938,0.08446400946638112,0.09753315873556029,0.011920260952394937,0.03722866629289504,0.4029915802549769,0.5478594924997331
1197,0.07086680622738,0.09761127271137618,0.2100367667880406,0.09132925642373767,0.16332419762944422,0.5353097791587774
1189,0.08253751395213198,0.09880117250035333,0.05744366965337824,0.25525169129782266,0.14869828956706518,0.5386063494817339
1159,0.07208351615958931,0.09890154599864408,0.1976791292307544,0.06842188416796186,0.2033254575898202,0.5305735290114636
775,0.0742706618077551,0.09891164673033294,0.17793065593787144,0.2883676177455527,0.002749594951905575,0.5309521313646702
1378,0.07272488614336028,0.09919774140856509,0.18781757214248251,0.026699050243078958,0.2555129930526004,0.5299703845618381
1298,0.08065220719908185,0.09923162293827442,0.08949996997463981,0.3112234379374658,0.06466743695055309,0.5346091551373414
1966,0.0744850885687512,0.1001202991305931,0.17791928855772837,0.23610565580119433,0.05998122280167741,0.5259938328393998
1547,0.06147136398188974,0.10014157322161837,0.34903632394818035,0.03885441455930883,0.09132571781847111,0.5207835436740397
671,0.06945150659918797,0.10026787982567598,0.23997842635567154,0.051324239669698145,0.18547655371585886,0.5232207802587715
1739,0.07377528868022644,0.10036799317007583,0.18113425489270618,0.07943230520729486,0.21420638026358507,0.5252270596364139
1752,0.07312389138289728,0.1005061108439536,0.19384454803449008,0.1352668694223029,0.14702050260026683,0.5238680799429403
326,0.08083900360883878,0.10110955001790725,0.08111815047428572,0.03038982815792141,0.36039482198284284,0.52809719938495
102,0.055375096806279264,0.10144124439935656,0.43725778826978917,0.033858550528783775,0.014413121642943515,0.5144705395584835
1426,0.08140092048911379,0.10158721663538248,0.09275022651253129,0.3716507662477796,0.010973577551521833,0.5246254296881673
324,0.06895725320028856,0.1018040989885141,0.25307250370116496,0.03556785073805559,0.19493383971316314,0.5164258058476164
883,0.06867840417079625,0.10192122867877687,0.257604165591162,0.03771479687078141,0.18891160703551357,0.5157694305025431
1092,0.060721110719377865,0.10207428332473488,0.3662456513685041,0.0042521052489928116,0.11696852763985703,0.5125337157426461
1448,0.06904077141111015,0.10222769399072797,0.2590572780713664,0.13744556312348372,0.08941600768691915,0.5140811511182308
1849,0.08335686506559936,0.10252139722423209,0.06596506891755553,0.31148143736596157,0.09999682847549098,0.522556665240992
1408,0.08204361230498104,0.10254492871360006,0.07404537373507322,0.0974313735825094,0.30614341776991966,0.5223798349124976
516,0.08530957494828263,0.10325634393550301,0.02754332614900463,0.05153779798795874,0.397965211914873,0.5229536639481636
793,0.07862047650724943,0.10328617401649888,0.12453143907964905,0.05657033220941933,0.3025969719889463,0.5163012567219852
1286,0.08503967830047164,0.10335768853577465,0.03534905482818084,0.11469414344982475,0.3282489868098826,0.5217078149121117
886,0.07551302904820935,0.1035597834662177,0.16845819563612133,0.026604771499662512,0.2920459761644249,0.5128910566997913
346,0.08128348312983966,0.1056735863108603,0.1075660678494703,0.25108144815134076,0.1344414256455488,0.5069110583536401
1257,0.08708694911062762,0.10579499019425594,0.01117495022384605,0.007050907018987223,0.46780661392208867,0.513967528835078
1318,0.08002106144808306,0.10624167337199102,0.12922372539201776,0.2697094590849845,0.09782485024312973,0.5032419652798681
753,0.07114426532513134,0.10630659498851107,0.2428979622992603,0.032837786827205125,0.2260920264209149,0.49817222445261966
104,0.07518244422289415,0.10632726180299988,0.19836127393566366,0.27051303115274333,0.03185275102487664,0.49927294388671634
1804,0.06202148528792563,0.10655060100945146,0.3698132241764722,0.026651620084919943,0.10992402324869162,0.49361113248991617
1132,0.0702083012762456,0.106916920334202,0.26406886789956907,0.13609927338315225,0.10537422524313728,0.49445763347414134
840,0.0841431858101841,0.1077045710981123,0.07247432199391177,0.1849398603019386,0.24161258073014918,0.5009732369740004
489,0.0700092511461657,0.10773751827500035,0.27407081774363484,0.2058243035470504,0.02958869268917714,0.4905161860201375
345,0.07900769192952173,0.10795683128559609,0.13828739761977815,0.013058518334187499,0.35215827651003445,0.49649580753599987
733,0.08844516427214756,0.10800979078292053,0.01047874787708891,0.1674819209645548,0.3177593593156063,0.50427997184275
707,0.07536817260586419,0.10819440526535233,0.20535210637922038,0.29170404464538563,0.011734095652382367,0.4912097533230116
866,0.05361149695802417,0.10827109400878078,0.4903753377046938,0.01070451562659336,0.01332636518285793,0.48559378148585486
669,0.08042835699887159,0.10828542180917225,0.12437674897695995,0.10454522832027166,0.2755201623754251,0.4955578603273434
1836,0.07426746295706914,0.10875179155293405,0.21842543161479966,0.19197175565526872,0.1010791841766601,0.4885236285532715
550,0.0678036735555496,0.10925991981526173,0.3030429469667731,0.037595464340987185,0.17549610771480628,0.4838654809774334
503,0.08696033414045225,0.10943197845717023,0.03302283208060753,0.05895112216187145,0.4108970859720825,0.4971289597854385
180,0.07169851344241315,0.1095426627772553,0.2546981846599487,0.12619483584176153,0.13512579875427536,0.4839811807440143
1478,0.07141088854935182,0.1097441467919206,0.25534922509125985,0.04336655451469171,0.21782842912394126,0.4834557912701072
151,0.08547717915544786,0.10977692921309849,0.07498373699359698,0.42480820984570655,0.008233671170016933,0.49197438199067955
664,0.0719907839452456,0.11010746341825568,0.24809955085819504,0.028305183600592358,0.24128790424821328,0.4823073612929992
1841,0.07358319982332451,0.1102057802506491,0.22637005901728868,0.03120571305873381,0.2596437652797792,0.48278046264419827
