,Return,Volatility,AAPL,COST,AXP,CMCSA
885,0.20501959144132006,0.20544159720711727,0.012952424324627182,0.700438988671184,0.08852104351727011,0.19808754348691868
102,0.1954471172079581,0.20619602668560738,0.05233119130044071,0.6095832642431908,0.043580354624313915,0.29450518983205476
391,0.21957832889086795,0.20712577610540142,0.07237867624945395,0.6710517212857329,0.1258493331908424,0.13072026927397096
396,0.18965830362054534,0.20742538466634752,0.044084784833200975,0.5540072558853192,0.11778807452876894,0.28411988475271105
625,0.2249487494967439,0.2075079364881193,0.08309464465437895,0.69177588850797,0.11027511308210199,0.11485435375554905
724,0.19358953311981564,0.20753526522778112,0.08008446847972428,0.5411271617081564,0.07564872109575387,0.3031396487163653
949,0.198107993841971,0.20761977153718955,0.09693892865018977,0.5645994630843187,0.025771540005615132,0.31269006825987633
931,0.1831357888939983,0.20790842933892756,0.02368250506774843,0.6061731950081929,0.00215871468797354,0.36798558523608504
936,0.19350496270701437,0.20797596506580315,0.06913240430687556,0.5358534256586206,0.11964367439548662,0.2753704956390171
318,0.2160040506047601,0.20929603288413176,0.07589068630424078,0.6177480359352632,0.18350481390652684,0.12285646385396923
472,0.20005939435816375,0.2095196852607006,0.06756855483055889,0.5456525619400555,0.17792794035823295,0.20885094287115266
781,0.20011330008533457,0.20970201811224595,0.12887776060425293,0.4920075416813215,0.09644303644175961,0.2826716612726661
502,0.2404762778015853,0.2107460171288138,0.11927098462914765,0.7163366554579148,0.12109267792755234,0.043299681985385266
716,0.19862718986619574,0.21116291139117446,0.14953381324568882,0.4604129228710464,0.07970527265130059,0.31034799123196416
3,0.216322007113167,0.21117232644741626,0.19539652380293018,0.5151620665936119,0.023018509072218182,0.26642290053123985
992,0.19408456424399292,0.21120688321790063,0.1347074123845128,0.4553608392651972,0.08543998560351818,0.3244917627467719
864,0.17605244640692191,0.21127331656971912,0.0697508952823871,0.46398032771522163,0.06882031189180567,0.39744846511058574
215,0.2407731165296092,0.21134030946479573,0.17190476773443145,0.6465329197381252,0.10234429311729827,0.07921801941014507
55,0.2141676169827425,0.21155568786855802,0.15933855715345033,0.4995219920272893,0.14335386904155714,0.19778558177770345
190,0.24670737407958718,0.2119588101710342,0.12894247015309845,0.753899203919604,0.08409780860571958,0.03306051732157801
565,0.19543986947759914,0.21220492452241474,0.11898605803686386,0.4548597936415276,0.1507170511706464,0.2754370971509621
661,0.16569762195298282,0.21226105749210114,0.0322463083171265,0.4770938726640143,0.04327486598093657,0.4473849530379227
506,0.18376275293878522,0.21241040027221458,0.119790490524241,0.43596624294137504,0.055993252838017836,0.3882500136963661
310,0.2296427719747191,0.21244248993192813,0.1924485225886115,0.5390043573675111,0.1327488527006229,0.13579826734325445
113,0.211031725124086,0.21251294761733602,0.14132611842467271,0.49356710003962306,0.17662312401308627,0.1884836575226181
553,0.18300675844042594,0.2125332254431489,0.10924192592954401,0.4303079749226664,0.09199598090708236,0.3684541182407073
822,0.17039960466130746,0.21263610604775793,0.06439670890172776,0.45826563265793585,0.03390375908007096,0.44343389936026534
844,0.24618606324077782,0.21283765323793224,0.09624841045665902,0.8207617682940321,0.04407283291024017,0.03891698833906865
158,0.1777087512879485,0.21294099894368662,0.10073424675705821,0.459226282981501,0.00031575353576294144,0.4397237167256778
11,0.19405523236748318,0.21303900997506675,0.05930295003312001,0.503818692383115,0.22177869597881092,0.21509966160495397
263,0.19054173665915092,0.21306441990662794,0.1319330534224266,0.4242329007726424,0.11788068422567297,0.32595336157925814
211,0.16234674987136047,0.21339143571387548,0.022609974089019047,0.4521547631891151,0.08667569464651387,0.4385595680753519
410,0.17912870204054557,0.2134393098814178,0.014035923312004176,0.49383577893975306,0.21636186683846478,0.27576643090977787
833,0.2503594841477077,0.21366919286282535,0.12393850191723534,0.8031470632817511,0.040237402249088144,0.032677032551925424
578,0.22933507152382246,0.21375042256877727,0.17317491227106493,0.5433547032733346,0.18061335118099656,0.10285703327460398
605,0.248054883128762,0.21390541855115844,0.1861380644980148,0.6496216094200344,0.13312541949661003,0.03111490658534089
614,0.228823745004345,0.21398074639352677,0.18375897402143018,0.5279873057313478,0.1731629738992383,0.11509074634798362
27,0.23503137770637192,0.21416413832290304,0.24786739920408157,0.5465574389651093,0.004651895720069413,0.2009232661107397
717,0.1918754740285838,0.214253571987091,0.13792139864848585,0.4116886472706005,0.13967943107634337,0.31071052300457036
684,0.20726425237585722,0.21437261415295558,0.1795934546850273,0.4307734100700159,0.14294539225048988,0.24668774299446689
397,0.23187540364836376,0.21442972830282192,0.2514353268651253,0.5243255550899083,0.003491635265737621,0.2207474827792287
841,0.2276534769443704,0.2145452755157341,0.23434010045555637,0.4783294238436557,0.10334317050832893,0.18398730519245915
430,0.20640581339677655,0.2146341843225533,0.2063608667272315,0.4141184374055467,0.08370670720171616,0.2958139886655055
689,0.19269773219632497,0.21477339475298737,0.11858601455104034,0.42549163290235426,0.18112156374789906,0.2748007887987064
902,0.20958194114741074,0.21479395238157292,0.11204589661132025,0.5032468711998779,0.2320835844296452,0.15262364775915677
248,0.17908528060572546,0.214909722915603,0.07406700900920858,0.42110049148576956,0.17668354771326397,0.32814895179175785
556,0.21406528598972333,0.21497248320106588,0.06521426813847085,0.5832061673767204,0.2655307142762847,0.08604885020852415
905,0.2202322171904814,0.21500853771913206,0.19630897934677569,0.46569236510941087,0.1647600653189421,0.17323859022487134
420,0.24719866348313807,0.2151171913194553,0.2526703446357502,0.5949434484581066,0.027250665417877164,0.12513554148826592
650,0.1734506668054237,0.21527444022439796,0.11086295458627783,0.42025780905937865,0.00044335128869131893,0.46843588506565226
220,0.21812871592876273,0.2154159128460094,0.2281300089919699,0.4320002953421786,0.11052699540478875,0.22934270026106268
958,0.18087634165214925,0.21549135555302168,0.14262934480779152,0.3865251270766985,0.05313594933785954,0.41770957877765036
639,0.2504718901147705,0.21549333971258705,0.24076165582813236,0.5989251638236069,0.09295802621883223,0.0673551541294285
176,0.217454859477901,0.21550876800171856,0.2453722636992895,0.429984657009751,0.05325875425104534,0.2713843250399142
604,0.22487347129219565,0.21553992607557604,0.21257450410377432,0.46941366277369007,0.15834839910925233,0.15966343401328334
669,0.178167935870239,0.21556540200233518,0.108014954539896,0.3878797011834107,0.1281276629735273,0.37597768130316606
40,0.19508501737506112,0.2156253444172666,0.1933666247392706,0.3888474176794569,0.049050224969071854,0.36873573261220083
219,0.21068904057302798,0.21567466633022184,0.13324075551366346,0.47966571025788685,0.226361435033392,0.1607320991950576
921,0.19459277341392306,0.21591292873665643,0.19203466053092558,0.3816358217510247,0.062395588273953716,0.363933929444096
238,0.25683541198165477,0.2160419582820111,0.23434126968858315,0.6568730445914371,0.06614170240816628,0.04264398331181372
365,0.1799379963006571,0.21611334073929706,0.14450141347728304,0.3767016248676192,0.0568071053898458,0.42198985626525204
514,0.1701572367298166,0.216158510094255,0.09363129798393227,0.38179105035119504,0.09576996975246184,0.42880768191241087
589,0.1897096451597399,0.21622338298031568,0.18490004078271668,0.3864443407619983,0.020208067886967277,0.4084475505683177
165,0.1826033521026167,0.21627140526860317,0.16022404373300222,0.38572250310715356,0.019171213701355275,0.4348822394584889
361,0.184044980019431,0.2162866363759463,0.16090649912998678,0.3725112500640522,0.06010278265419693,0.40647946815176417
925,0.2002619886168702,0.21628809095920512,0.061600132055967885,0.511249908490134,0.2689420821452775,0.15820787730862063
588,0.2261017675620081,0.2163166419475057,0.1813526055647179,0.49969295861756213,0.20786877618449268,0.11108565963322721
862,0.189027211099919,0.2164305268977457,0.16512973503313502,0.36998877912658684,0.10783051153042954,0.35705097430984856
586,0.22227994992078826,0.21657157375302213,0.2638473845243082,0.4285077906706204,0.0526001010103719,0.2550447237946995
484,0.16372527629742828,0.21661003049226807,0.07639231152580075,0.3881182767118026,0.06469653148162666,0.4707928802807699
585,0.2170032347072892,0.21662053062836484,0.25930821985739083,0.4317911921958173,0.0010114439007089077,0.3078891440460829
830,0.17805708220567462,0.2167768505842685,0.14736092643913193,0.38808166584022835,0.003631497863036092,0.4609259098576036
438,0.23021990449303942,0.21684254876338732,0.2602822244336273,0.45102142304275267,0.10673076157489554,0.1819655909487245
425,0.1956974959030448,0.21702260884819496,0.20979028435747912,0.37280045950193147,0.03733293082959368,0.3800763253109957
656,0.22634646973701222,0.21705167907354606,0.26827701304093216,0.43176080892907737,0.07766236717007005,0.2222998108599204
562,0.1929469607962523,0.21708035433546632,0.1967290527124198,0.36357889638304586,0.06611503396342909,0.3735770169411053
15,0.22113296986868194,0.21716411962031829,0.2596600214635777,0.4129352392250491,0.08457059516074175,0.24283414415063148
289,0.23145210295364968,0.21719126215085086,0.21202385591396472,0.4905255001625856,0.1906851281634562,0.10676551575999342
19,0.19674310846423393,0.21755221249728496,0.19196199124308191,0.36296844821397334,0.12473770751287701,0.3203318530300678
398,0.20854707353060223,0.21759530375050185,0.20347906486973716,0.39228960969689175,0.16116073173411374,0.24307059369925724
87,0.25144174136400865,0.217703897952982,0.22071001410360575,0.5962822108431785,0.1718051429791783,0.011202632074037407
356,0.20189044166096734,0.21775040092985706,0.14148254710694208,0.4204032514905262,0.2229112168476894,0.2152029845548423
214,0.2015338628610788,0.21787381079027612,0.11823327789192412,0.44279980392701435,0.24586327548200068,0.19310364269906083
916,0.23530012385240945,0.2179336614315651,0.29562015506780137,0.4682101674500235,0.018239858510827028,0.21792981897134803
93,0.1991587217078,0.21796231529150667,0.2103905642134255,0.35734512405423974,0.10570241657186305,0.3265618951604717
503,0.1872811225840305,0.21803542542653767,0.19120039549385734,0.3524889106891596,0.0425524634928199,0.4137582303241632
405,0.18082466627415367,0.21827799336224715,0.1472598506130025,0.3455607271645928,0.12158510615991029,0.3855943160624945
