,Return,Volatility,VGSH,AAPL,VOO,AMZN
286,0.040448925449836984,0.035462190256407546,0.82135214299956,0.005878374415944932,0.1603221007425928,0.012447381841902253
2273,0.04953137026185021,0.04651301598582407,0.7830512086490259,0.0017195066523583344,0.1343347242481014,0.08089456045051446
2058,0.05537119670185272,0.05231818884322023,0.7530014713744233,0.018560026378761543,0.16470536989545403,0.06373313235136097
1452,0.06876611069312827,0.05588833752878963,0.7711789096950639,0.11015853767300939,0.09882356316574856,0.0198389894661782
2046,0.06737257785769277,0.06019673870614386,0.7323979211158066,0.08242820932523365,0.17025373176173883,0.014920137797220925
411,0.06806164674227845,0.0677718112774795,0.738592793868307,0.031108440017797744,0.058351987897041706,0.1719467782168535
206,0.07655085845690968,0.07179104093245105,0.6830210786739964,0.08011979360385492,0.1748005261099846,0.06205860161216405
1984,0.06591577987861066,0.07350876454968051,0.7551791809054085,0.007141529889717855,0.002738186835839325,0.23494110236903434
2366,0.07241785894903491,0.07406919468026589,0.6572305023668048,0.06458813026593255,0.26888800723140727,0.009293360135855359
1593,0.09399439071285141,0.07833521451109961,0.7176694777024933,0.1877760187209684,0.040921246631655986,0.05363325694488214
2564,0.09912892739273083,0.0819159917918494,0.7191291309010001,0.21578240258538695,0.017877654775559502,0.04721081173805337
1249,0.08777263308881326,0.0867803449740912,0.6826022049973905,0.08040625628603133,0.030577187353334062,0.2064143513632441
1038,0.09232802490419928,0.08745402462981376,0.6355471186708886,0.1119038923098748,0.1464417986880608,0.10610719033117552
2741,0.08700350154518667,0.08876791255844246,0.6002481264095566,0.08121010682043538,0.25491798985126435,0.06362377691874356
2406,0.08417467843077785,0.08884096437746193,0.6465588880412781,0.041900412126228796,0.10531454603051758,0.20622615380197543
39,0.09985930853759438,0.08912775508185102,0.6761455972982947,0.16014826923689002,0.025318055151860714,0.13838807831295458
2003,0.08443074271076476,0.08990434835286439,0.5892636785407225,0.08322580430858886,0.3201655664546996,0.007344950695988995
548,0.10243421845249384,0.09069546293475103,0.6590426236240631,0.17676498048224926,0.06424365041392172,0.09994874547976598
2885,0.09638878842104949,0.09218804253035585,0.626121764244359,0.11448852613432803,0.12243901338464316,0.13695069623666986
1413,0.0836741068680016,0.09613680944350161,0.5876770131027044,0.005229290281441427,0.20198465055933296,0.20510904605652117
1746,0.092457907614731,0.09620874684722705,0.5669435053643302,0.09093028957795382,0.28665305804751473,0.055473147010201125
1592,0.09183756083488726,0.0962267879162105,0.643913254954033,0.06462634145138943,0.05109592407819328,0.24036447951638443
138,0.0830018300081242,0.09679556188609949,0.5525579339351026,0.00646180229633582,0.3036325589862708,0.13734770478229094
1532,0.108690188199637,0.09946798586410821,0.6357108654973823,0.1731965124710354,0.03726376783534331,0.15382885419623898
1550,0.10091452120601603,0.09975826462122245,0.5716188300659425,0.12493598198505924,0.2222949317079166,0.08115025624108171
559,0.09486876644491707,0.1016784057467141,0.5404161404091699,0.07329582137781845,0.2940672310635889,0.09222080714942288
2787,0.10041874679949415,0.10227181499432936,0.5575831188731944,0.10109212375160405,0.22464761631936722,0.1166771410558344
232,0.11091217909764262,0.10374276812909253,0.587454770626998,0.17525212018070918,0.13667928790737893,0.10061382128491385
1342,0.1072682479709555,0.10490337207175789,0.5756769535228042,0.13183609937595947,0.1409406484066777,0.15154629869455866
2937,0.09763822319099243,0.10523793946304329,0.5304544626844176,0.06827446062844351,0.275344569646866,0.12592650704027272
1611,0.0983511692025765,0.1055098592281587,0.5621047668008753,0.06087326910228665,0.17169052181212588,0.20533144228471223
1510,0.09590873266416242,0.10552230312575585,0.5172834511127993,0.0823090856031332,0.35564975143849076,0.04475771184557663
2515,0.10154711434732709,0.10596630661431136,0.5296901267404666,0.10756941296429953,0.2930973193836642,0.06964314091156974
41,0.10546496200602422,0.10651696260873281,0.5385979644939525,0.13504802453645132,0.26570409657518546,0.060649914394410774
545,0.10634335956698639,0.10676455164480861,0.5454560549465969,0.16493020591475407,0.28717143497433567,0.0024423041643132797
806,0.12379773793185506,0.10677075753233295,0.6420624252453978,0.29873378912914356,0.0372033098307488,0.022000475794709876
