,Return,Volatility,VGSH,VO,VOO,AMZN
958,0.034379114351146815,0.032513645070074634,0.8372628774944204,0.07939636536348896,0.07762841699128703,0.00571234015080348
406,0.041791069803593234,0.03692352376430568,0.8235390909534195,0.030684538657565433,0.08458804278354072,0.061188327605474366
1832,0.04299487386195673,0.04160763507867297,0.791405908797358,0.023814818305922712,0.16160852466665962,0.023170748230059757
1316,0.0463984019658156,0.046689293580684244,0.770833445620975,0.0564829839005925,0.12515151830043125,0.047532052178001244
990,0.04504054966153362,0.05254398457567685,0.743001009400537,0.11891076915818093,0.12793179365183774,0.010156427789444184
892,0.04438644706123872,0.05461651151447938,0.7358637253074733,0.15816213903156742,0.10028678299868711,0.0056873526622720685
2746,0.05217135866065357,0.0558615148327561,0.7375360945751959,0.10369757870702558,0.07058548951832908,0.0881808371994496
2514,0.04706769874888991,0.056491149811413156,0.7245802898510014,0.12211126154750643,0.14478343734086208,0.008525011260629916
972,0.05164446525955823,0.05916992595719012,0.7091770621065319,0.06570935006830354,0.20361840387245206,0.02149518395271248
1349,0.05265693307119354,0.06358520436634696,0.6942413605945383,0.17350541484749435,0.07913905399719635,0.053114170560770946
732,0.054931911924595456,0.06372437008846543,0.70176199123244,0.1721329354750551,0.032041953681247015,0.09406311961125786
2841,0.052789331281330676,0.06470826263445116,0.6877000042306416,0.1675222922020566,0.10265940011702337,0.042118303450278456
1057,0.06001637326138905,0.06539086513758449,0.7418180160291569,0.06107080895425879,0.01688715679975109,0.1802240182168334
2974,0.06066575288099242,0.06732371715020029,0.6760979340442319,0.033423228841104685,0.2168777505124859,0.07360108660217747
2828,0.061256799296663604,0.06743324989466895,0.7305368804320782,0.07026865128462975,0.017152413355848984,0.18204205492744302
900,0.05628492648674025,0.07160824386547818,0.6626705350319037,0.24642529935002416,0.012216872579973573,0.07868729303809857
1675,0.06447476634955449,0.07393748293448055,0.6473569370591138,0.05735484759902824,0.20843166004053612,0.08685655530132173
138,0.056129933432354145,0.07406307894355435,0.6472024125110478,0.2376049444167466,0.06650446037837524,0.0486881826938305
472,0.061505333893707076,0.07564881347830325,0.6453257857433589,0.1982326474726043,0.05629124620258183,0.10015032058145498
1789,0.06768462374579695,0.07622634851181453,0.6927857018149649,0.05479567361969672,0.05280032175790254,0.1996183028074359
1738,0.05929526343843998,0.07625237562627571,0.637001904732534,0.21751860263918787,0.07970342395804478,0.06577606867023343
697,0.06566413192926857,0.07638409828306138,0.6297305990876393,0.01365736221079409,0.29935194501550194,0.05726009368606465
255,0.06166918070424239,0.07819468164176858,0.63002961957939,0.21307875428100262,0.07306990708799767,0.0838217190516098
545,0.06722232802271208,0.07965726564668166,0.6225582324720913,0.09340619598731251,0.1867206541986237,0.0973149173419725
1713,0.071610671718423,0.08203203945298836,0.6878920979616406,0.028667999549364234,0.050795214885081576,0.23264468760391344
879,0.05760891367178539,0.08320069967552007,0.6085948383229468,0.3151991774421094,0.03919826277685553,0.0370077214580883
2140,0.06628488231163547,0.0842572790027637,0.5911399728126197,0.02173580160017527,0.3798537816881714,0.007270443899033687
2142,0.0729996469041438,0.08630579185419081,0.606080730576,0.09551717591595733,0.1513405550896785,0.14706153841836422
2317,0.07280621618230398,0.08659625836584783,0.6052349420405485,0.10915217951172411,0.1370736411947825,0.14853923725294482
2429,0.06536699546924984,0.08691934022969293,0.5809786237910421,0.1094292880638255,0.2960700177838904,0.013522070361242037
2175,0.07213749159246427,0.08697876493174465,0.5881748510074347,0.08246705045351119,0.22700404666143129,0.10235405187762275
2618,0.06741392791463217,0.08736745381993097,0.5806265073318254,0.15059972906300512,0.21311591468162502,0.055657848923544556
1707,0.0698631505194234,0.08768723017504694,0.5745923022617945,0.014078011607006282,0.38681405701763466,0.024515629113564637
946,0.07429664319284009,0.08786252553235707,0.6181399011572638,0.10884895350961052,0.08475680610170312,0.1882543392314226
2282,0.06936424009211387,0.08801573674146546,0.5915528505139127,0.21691859802524113,0.06726497482857427,0.1242635766322719
947,0.07592483229392849,0.08827983602338133,0.6372569574343889,0.05605082693926038,0.08760873598293192,0.21908347964341876
231,0.06503861864782709,0.0884143534631537,0.5843721885662759,0.28747960372312803,0.04387792698599663,0.08427028072459948
2833,0.06452334773966092,0.08876664764481966,0.5763751238463447,0.21931265628537444,0.16608002216763848,0.03823219770064232
1913,0.06142120667946181,0.08890764362319845,0.5783910830978257,0.24169363316264855,0.17003523542734247,0.00988004831218331
1242,0.07472175010797584,0.08953815666530265,0.570687652940324,0.009060577888872693,0.34076971398058115,0.07948205519022207
2579,0.06334225471521145,0.08999143847232678,0.5744352651604446,0.2886215303871689,0.09002754426096835,0.04691566019141808
1709,0.07445122473885833,0.09021671054951809,0.5938553038796717,0.1424439980423801,0.09882077673212047,0.16487992134582768
1271,0.07269203973165987,0.09179922575260074,0.5800027145400048,0.21277793680668708,0.059661927619298075,0.14755742103401
2353,0.058704421730592656,0.09211820442487893,0.5715823659122659,0.36104457486224245,0.05691387400036594,0.01045918522512572
1257,0.061183074971799305,0.0921652923746402,0.56756876219047,0.32834857286766517,0.08057430436431826,0.023508360577546718
2384,0.05807206950727991,0.09235540618350342,0.5716066868121643,0.3631568280668548,0.062128106387737005,0.003108378733243861
1527,0.07015713756615284,0.09236818471625725,0.557165908926686,0.15369387483378857,0.23384681890641879,0.05529339733310655
1821,0.07787887440690816,0.09249511767871475,0.57768188187548,0.06673263221775311,0.20143776987187553,0.1541477160348914
2306,0.07037933933359337,0.09276461593462566,0.5654097114169048,0.2469173596768591,0.07995853584798632,0.10771439305824981
2303,0.05788089815584436,0.09414395959188089,0.5663428165403008,0.41863226080293475,0.0010547427151745984,0.013970179941589687
1919,0.0802231011557003,0.0946799999915211,0.6457931906442174,0.011468686323272534,0.07170671123660671,0.2710314117959034
595,0.07847240881322277,0.09473412551555199,0.5725927844359644,0.10659082472180868,0.15144239645780436,0.1693739943844228
292,0.07269594947648354,0.09492760651049381,0.5551021607501171,0.223912529458831,0.10852064101189536,0.11246466877915655
679,0.06935339888207481,0.09522456833887906,0.5428956654231037,0.1165449734326608,0.33287203726384684,0.0076873238803885835
693,0.07265607909195615,0.0953655801110813,0.5405712251313658,0.09140861664585402,0.3309421950074132,0.03707796321536685
410,0.08071320247916297,0.0956638638271746,0.5573816060670636,0.02316483638802367,0.27772192463090284,0.14173163291401009
871,0.0788369039186719,0.09642537428904394,0.5440794711629703,0.05716309461175352,0.289206743001824,0.10955069122345211
2496,0.0793513884115685,0.0968931216568088,0.6048945981890622,0.1396591731785519,0.010482213407075475,0.24496401522531042
1206,0.07149562000489082,0.09707638410559817,0.5378982499986316,0.2139932923390843,0.18240688645079703,0.06570157121148709
1278,0.07473872537320643,0.09777559686723798,0.54237598140124,0.22120807538268458,0.11865610350144605,0.1177598397146293
360,0.07836141459941298,0.09788290711639212,0.5511007216196142,0.1596097200796189,0.13471447312658144,0.15457508517418542
1029,0.07789755840297458,0.09807663120307883,0.532904005041666,0.0889740916580841,0.28606137914542545,0.09206052415482435
2487,0.07008453103486237,0.09816260876225781,0.5321553414915864,0.21837712913763227,0.20949380748676152,0.039973721884019785
873,0.07010780347488701,0.09827837256512936,0.5297005248555642,0.13498630036958348,0.3315432790129656,0.00376989576188681
2383,0.07216776348842206,0.09910434293546908,0.5419778543481593,0.32952320453537237,0.0024126290886635434,0.12608631202780474
2198,0.0810789705165738,0.09946663472399163,0.5286664665855343,0.037413358444677726,0.32741310467792784,0.10650707029186016
286,0.07397384247888965,0.09947951844607701,0.5215639602401675,0.09687887510231133,0.3553696089582239,0.02618755569929723
1840,0.07859754337322346,0.10002426322415979,0.528719046930128,0.13912966811811392,0.21802024168284972,0.1141310432689086
2799,0.07578618551409746,0.1001343098126129,0.5205567517500442,0.1341834903422767,0.28253514408263347,0.06272461382504566
2595,0.07884781492740754,0.10016494104257584,0.5471893759846163,0.20641768526216192,0.07339736157520063,0.17299557717802122
2750,0.07780585814991782,0.10033900597906764,0.5234556416076436,0.13729088902276537,0.2444759825429229,0.0947774868266681
1256,0.08319422486415959,0.10034722460982469,0.5336901400488936,0.03364365444551478,0.29218355845850524,0.14048264704708643
784,0.08361689001505984,0.10055432422833326,0.5430065681478522,0.054356667093789064,0.23378450497448003,0.16885225978387886
2801,0.06583259349401963,0.10076198763110555,0.5306242334176611,0.40027248799556475,0.01566370811258777,0.05343957047418649
2257,0.06601183410285644,0.10130498188819875,0.5243914431185599,0.3166797431687494,0.14573845524318269,0.013190358469507987
2177,0.08343645234040178,0.10133501083164961,0.6073934187162545,0.07870863945434853,0.03573396744854538,0.2781639743808515
301,0.08233235137797063,0.10155685750385039,0.5331678981575336,0.1061260081415303,0.20390298026918977,0.1568031134317463
1697,0.0833634948433105,0.1017867555634952,0.6483075251519365,0.01373165008402451,0.02125650777249257,0.3167043169915466
1841,0.08021849346749908,0.10192738488880906,0.5142364466465618,0.08324058685697026,0.3121624570710737,0.09036050942539417
1393,0.08357509418620848,0.10224612021435268,0.6074657198304056,0.09124631207153312,0.016304889278566333,0.28498307881949486
86,0.07359339094113188,0.10233100828835932,0.521108256323207,0.3081088007008518,0.06765375810453404,0.10312918487140707
1488,0.08441611053732105,0.10239724005942585,0.5384616131105731,0.07623143797248598,0.20472593780160286,0.1805810111153381
2101,0.072233500050251,0.10246093562007286,0.513970292841403,0.25815432718925596,0.17327225259677895,0.05460312737256184
654,0.06974415862948419,0.10267181790039584,0.5148063946801802,0.2910331146460966,0.15771416745786965,0.036446323215853706
1460,0.08231086243393652,0.10288334914948205,0.5196619013538218,0.10569505625576736,0.23971127958404503,0.13493176280636582
2767,0.08485470311673515,0.10331557263275404,0.5280059364384821,0.06790789289511269,0.23764729176170968,0.1664388789046956
979,0.07814430031905009,0.10342555261526448,0.5015951921740828,0.026456043298574407,0.4507950148224664,0.021153749704876424
1633,0.08632191206677997,0.10346225106575026,0.5884337303764379,0.03658352519093905,0.10587987534964442,0.26910286908297865
1834,0.08456995197906789,0.1051101975925955,0.5128142254293298,0.09368798804197538,0.2447739104168713,0.14872387611182364
838,0.08547540301196158,0.10516592691658938,0.5277121998697157,0.10537989424583838,0.17821645258577426,0.1886914532986715
910,0.07246747949397292,0.10527037801226348,0.5000711345976406,0.23711676741669463,0.23544373287946432,0.027368365106200398
11,0.08502992896162402,0.10527987528563776,0.5420616318999261,0.14010303442595273,0.09859046903291331,0.21924486464120785
314,0.08650163091272554,0.10578277228703542,0.5035199337342078,0.014483050018522445,0.35389517311352864,0.12810184313374098
1795,0.08687628991817468,0.10597140385290078,0.5758941216779522,0.08163583243844257,0.06843654769625385,0.27403349818735134
1546,0.08395177960962105,0.10631892657117353,0.523718602233959,0.182418564902201,0.10117278389453879,0.1926900489693011
2024,0.08306396620400125,0.10639210986717698,0.4883601487565427,0.00513108640237184,0.4507728901189078,0.055735874722177545
1283,0.07724791761956093,0.10645053126142812,0.49073004119184477,0.15273495292916875,0.31487675466716786,0.041658251211818605
613,0.07808805283207707,0.10744262392348423,0.5074221421087716,0.33665188657500644,0.004949495229316324,0.15097647608690556
1252,0.07066405258549535,0.10764917860931716,0.4957517915756418,0.3687770127397141,0.08689484827370228,0.04857634741094174
2529,0.08387968313209293,0.10770268954469357,0.4933359089119622,0.12756994287782936,0.25698480219663855,0.12210934601356985
1638,0.0851372198015341,0.10802475128049566,0.49134465586902676,0.09345616999968846,0.293251786401051,0.12194738773023371
1380,0.073312681753766,0.10819192877672706,0.4876690650272219,0.26397014894078785,0.2191824585631501,0.02917832746884013
2387,0.07578400809048082,0.10823916060605748,0.4859345280251599,0.2413272776418834,0.22305920236467616,0.04967899196828045
2380,0.08367834715602003,0.10844089670387067,0.4851361784219272,0.10926369260332257,0.30627234416106236,0.09932778481368772
