,Return,Volatility,AAPL,AMZN,GOOGL
1936,0.17908042790289147,0.3084740737190178,0.13505910455350403,0.34384405768593107,0.5210968377605648
2665,0.18597946689896683,0.3084789253855274,0.12858190885930146,0.29409166264912656,0.577326428491572
355,0.1937261485982207,0.30848015065433027,0.16769279039146512,0.26048902611017455,0.5718181834983604
8,0.19034306697268455,0.3084906249250455,0.21628505251238392,0.30668410580388367,0.4770308416837325
1820,0.19055728408433553,0.3084934259169283,0.21711405894477082,0.30563370139155766,0.4772522396636715
1702,0.197125395729976,0.3084952284943825,0.209957442964881,0.2577925705856994,0.5322499864494196
2947,0.1910784587450061,0.30850211908604935,0.21918106087777428,0.3031021849193259,0.4777167542028999
2244,0.18788358248610001,0.30850479681446774,0.20858039574407766,0.3196144416598816,0.4718051625960407
762,0.18507258670060267,0.3085129961036557,0.12340895372751046,0.2977401472279081,0.5788508990445814
2812,0.18191757561921323,0.30853558996344915,0.11544525266204297,0.3152485242569111,0.569306223081046
1136,0.17866506441191474,0.30853610017477817,0.1195542539589373,0.3392105331765828,0.5412352128644798
2796,0.197829572041657,0.3085368491594885,0.21092463036545658,0.25349593187949016,0.5355794377550532
2795,0.17898176431575072,0.3085376228429531,0.11766220974370578,0.33616125234199845,0.5461765379142958
1301,0.1822487462682606,0.3085401890914771,0.11546309961136074,0.31301808468174425,0.571518815706895
414,0.19353774941204216,0.3085461575941194,0.2274458483318758,0.2904420012113561,0.4821121504567681
2311,0.19319761897740384,0.30855359997861664,0.22749232779424022,0.29276389110235695,0.4797437811034028
1749,0.19268708608900645,0.3085562934599202,0.22676655863542947,0.29586720132950767,0.47736624003506295
2131,0.18643311363603624,0.30856288011117605,0.12440116045836223,0.28901800821625656,0.5865808313253812
1542,0.1960665098682339,0.30856513461706464,0.22994906153724978,0.2745468005885175,0.4955041378742327
159,0.19620814637430886,0.30856808941245467,0.23009124132384498,0.2736574539597524,0.49625130471640255
2155,0.18469637466519723,0.3085754087758234,0.19816570128938468,0.3361641119643785,0.4656701867462367
317,0.19844495605699272,0.3085763839975388,0.21567466282179176,0.2516152313392355,0.5327101058389727
1680,0.17795884406283777,0.3085765246562012,0.14453953210342776,0.35597720314037207,0.4994832647562002
2186,0.18544422842786493,0.30858574531845767,0.20269044956186585,0.3332796712155427,0.4640298792225915
1199,0.19880671598162544,0.30860209104631975,0.21883667830231351,0.2506870644760182,0.5304762572216684
1913,0.19823524055478214,0.30860540166043604,0.2280771482905517,0.2589858216107161,0.5129370300987323
2267,0.1970358085531242,0.3086085274311176,0.23300797303777052,0.26946165024234014,0.4975303767198893
344,0.17684779107258883,0.3086124281548939,0.12731796079380026,0.3552231910787357,0.5174588481274641
2729,0.18125742369308478,0.30861864731289074,0.1799616773992852,0.3506772013428913,0.4693611212578235
1932,0.19064980757516883,0.3086215237365496,0.22576156114181986,0.3091586383336134,0.46507980052456677
1924,0.19805208420289908,0.3086242709195523,0.1930154434169205,0.24339581438413418,0.5635887421989452
2063,0.18683041482470109,0.308626293798344,0.21164946708206686,0.3282078225214154,0.4601427103965178
1910,0.1967107926528307,0.30862804278982353,0.23532860330110847,0.2727728597979269,0.4918985369009645
1232,0.18044853685153614,0.3086316420093179,0.1750196812322621,0.35377401612536835,0.47120630264236957
553,0.18008503484727764,0.3086317532727772,0.10660637621361123,0.32339578510742534,0.5699978386789634
360,0.19262952094357955,0.3086318679393254,0.2316589953791224,0.2986045789007711,0.46973642572010654
2491,0.1989292918211353,0.3086345236091986,0.20441888959911475,0.2429383450224643,0.5526427653784209
1058,0.17684857701824427,0.3086370676974995,0.13756755679186394,0.3601372997126867,0.5022951434954492
1709,0.18212780600935266,0.3086474513210637,0.10770845635052415,0.31011380899452723,0.5821777346549486
1931,0.1785266063999479,0.3086594650509769,0.16119686555665713,0.3601335257648623,0.4786696086784806
1650,0.17975839944191227,0.3086652302123741,0.10395587919484739,0.3243319889753995,0.5717121318297531
2418,0.17722235193883662,0.308677864045321,0.14939075925639028,0.36328494635299896,0.48732429439061076
2744,0.1988674614738986,0.3086795321012243,0.23545228374992022,0.258251239916591,0.5062964763334888
205,0.19131497464389574,0.30868856571559533,0.13856553851348627,0.2628106966334611,0.5986237648530525
1317,0.20005125866405318,0.3086949797297215,0.22612656992405678,0.24577173418274167,0.5281016958932017
679,0.20022463287544243,0.308704202019723,0.22452547542506157,0.2438311063098043,0.5316434182651341
1452,0.18036639435928087,0.30871498309925904,0.10090077880110226,0.31875507371682715,0.5803441474820707
836,0.19862595873917158,0.3087211848846795,0.188622468258758,0.23740745317654866,0.5739700785646933
2849,0.1774305315964423,0.3087213353793517,0.15620447078296512,0.36514779481983345,0.47864773439720143
1022,0.20042977336095574,0.3087269247931288,0.2153443366481203,0.23803757298322867,0.5466180903686512
2243,0.1921539360315887,0.3087457673503458,0.23699689421966033,0.3043819436154552,0.4586211621648846
2427,0.17590935446809894,0.30874885978853794,0.10356906224569551,0.3501692674436803,0.5462616703106242
544,0.1867575076676195,0.30874949690900577,0.11517840444648986,0.2823982411075683,0.6024233544459419
2419,0.1941997772537569,0.3087602158880738,0.242456110924379,0.29317047360572307,0.4643734154698979
796,0.17609056212150756,0.308764442411555,0.10070371263025758,0.34756888347887877,0.5517274038908636
688,0.18306959310715498,0.3087644755323115,0.20014508707488934,0.34811262001762383,0.45174229290748685
705,0.1811979589669588,0.3087784437747551,0.189634667161357,0.3557219082116816,0.4546434246269614
1579,0.18320090873064412,0.30877913653558575,0.201650050154402,0.3479471366067604,0.4504028132388377
943,0.1928535731094181,0.3087822116415768,0.24070705272615614,0.30143251756042805,0.45786042971341584
2885,0.19425553776586438,0.30878353630718186,0.24385628738910597,0.29346551568150164,0.4626781969293923
609,0.17810389341455327,0.30878912668851644,0.16778794190666785,0.366154907944376,0.46605715014895616
2975,0.19987904359127814,0.30878968638018695,0.2440341781613894,0.25553104131182286,0.5004347805267877
1106,0.20022639165239056,0.30879989986373624,0.19890651906856163,0.23152307558768787,0.5695704053437506
584,0.1809334637031731,0.30880287755483715,0.1892940667523242,0.3573466538462939,0.4533592794013818
2204,0.20147514364030306,0.30880561430659254,0.2302818340828746,0.2381393881147401,0.5315787778023853
2210,0.1826140573667155,0.30881412115420687,0.09927016235716897,0.30277625611894327,0.5979535815238877
2788,0.20116167671851362,0.30882541671842234,0.20925302524206893,0.23016565986484336,0.5605813148930878
1027,0.18402288831372585,0.3088306555892512,0.2086637619998817,0.34575614931070675,0.44558008868941157
1007,0.19772326912813862,0.30883255667671045,0.25051601231286164,0.2732170142334,0.47626697345373836
2156,0.20154023948395802,0.30883275328529874,0.2153904404764855,0.23055197146823683,0.5540575880552777
2963,0.18880034737595697,0.30883867611120064,0.11912165773137026,0.27047945829487763,0.6103988839737521
519,0.17631458872993744,0.3088400450591263,0.15534663817720218,0.37228082452662387,0.47237253729617396
623,0.18121813010197377,0.3088435565756565,0.19328425731041424,0.3573372001880628,0.4493785425015229
100,0.1983507651575986,0.3088451523092625,0.25127601634532415,0.2693393615525874,0.4793846221020884
2329,0.17496207494314447,0.3088460256293674,0.14045216097475693,0.3742762182865647,0.48527162073867836
1253,0.1761321556982728,0.3088486392975969,0.15422009041101317,0.3729735318476295,0.47280637774135725
323,0.18566832908049577,0.3088513068574937,0.10641921509944746,0.28555796530136324,0.6080228195991894
647,0.18969609856155656,0.3088530279919684,0.2345299860943915,0.31981506742776766,0.44565494647784076
2632,0.18243702377036727,0.3088713750861586,0.20195346697227923,0.3532573008492738,0.44478923217844696
1549,0.18850326243164228,0.30887498297329463,0.23107141247658683,0.3262197050496946,0.44270888247371853
1478,0.19096397839371343,0.30887909181128403,0.12727525219270802,0.25976482590256256,0.6129599219047294
241,0.1899959973489853,0.3088878783120109,0.23716397488554977,0.31905170332841365,0.44378432178603655
2089,0.17341438226502387,0.30889947671623086,0.10365805867500635,0.3670801932669698,0.5292617480580238
2989,0.18671592504450596,0.30890898914853093,0.10758566728854146,0.2790351467332306,0.6133791859782278
2036,0.17829190172484297,0.3089102638993758,0.17693079254188804,0.3692720320615106,0.45379717539660136
2143,0.17686075141181964,0.3089110290957685,0.16554099551270787,0.37348119330262425,0.4609778111846678
1906,0.19395755803151676,0.30891664382969625,0.24999630667004996,0.2984271006537272,0.4515765926762229
2229,0.18290244880957943,0.3089212463517992,0.20691065494508207,0.3524898820356104,0.4405994630193076
2536,0.1739485940877814,0.30892486640048855,0.1356294023370716,0.3788134984573084,0.48555709920562
2996,0.1908886461797317,0.30892852156164513,0.12469773464649368,0.2590370261419186,0.6162652392115878
951,0.19590288033597655,0.30892858734737627,0.25433673183790123,0.2873582490648108,0.45830501909728794
781,0.1845772500874204,0.30896113198892816,0.2174171994753012,0.34620949741763857,0.4363733031070602
1511,0.1811109052280675,0.3089714573660954,0.08826124691361138,0.30765502205560047,0.6040837310307883
1226,0.1957032791738462,0.30897351321960037,0.25622962240597624,0.2896162454260107,0.4541541321680129
1779,0.1942842561149529,0.3089787808784379,0.25362526955220993,0.29796010000599654,0.4484146304417935
1999,0.18923184094350617,0.30898114820486006,0.23842233689985495,0.32482204071945686,0.43675562238068816
2658,0.2010242685559268,0.3089874923435622,0.2583255326527306,0.25464762635015786,0.4870268409971116
2543,0.17380082443504108,0.30899080139461776,0.08702920610206898,0.356486277006262,0.556484516891669
1750,0.19461529913633516,0.30899100681522884,0.2549164322420265,0.29634166718696014,0.44874190057101343
1063,0.18720381804151093,0.3089979546419144,0.23102807839505227,0.33498429556858844,0.43398762603635926
701,0.19330906725415398,0.30900361927313513,0.2523463434798907,0.30393939949250987,0.44371425702759937
1603,0.17298863808425655,0.30900452789440647,0.09020552508107463,0.36350188668748945,0.5462925882314359
201,0.17299810605134527,0.3090070714903579,0.08981676553628566,0.36325128486023783,0.5469319496034765
1387,0.20131399611113837,0.30901079706175855,0.25946300304327424,0.25323475594386624,0.48730224101285946
2101,0.17214308449752663,0.3090122989809382,0.11348541984701538,0.3803920519601677,0.5061225281928169
2238,0.19999778239345725,0.30901512419630345,0.26154863874538586,0.2631345476799311,0.47531681357468303
1964,0.1737579543365058,0.3090174711616585,0.1426446074150088,0.3834694269613868,0.4738859656236044
346,0.19699737634014597,0.30901878475866157,0.15594075901919488,0.23273210865189334,0.6113271323289118
1189,0.17328325281911316,0.30901948582086886,0.08665672354048885,0.35980673957373427,0.5535365368857769
1739,0.1988459633171673,0.30902245875148093,0.16924483521791925,0.22661949001029016,0.6041356747717906
2566,0.18622479551175122,0.3090230488769211,0.2277731888285751,0.3400411255415884,0.43218568562983656
799,0.18943657794951982,0.309024792712713,0.11389363314163303,0.2636687228602085,0.6224376439981584
2755,0.20391762626803478,0.3090317811070502,0.23123537491635265,0.2220837169309621,0.5466809081526852
2825,0.1718986243886529,0.3090326734340538,0.11073318233100975,0.380723846774803,0.5085429708941873
1818,0.1890058312951379,0.30904590111827024,0.2402062875651893,0.3272062946465289,0.4325874177882818
2623,0.20425278712337985,0.30906042519575627,0.23758720005793468,0.2228663724236118,0.5395464275184535
2827,0.17294059019106064,0.30906257676356136,0.1366406871382304,0.38611387197641556,0.4772454408853541
1449,0.1715745800047754,0.30906264504366315,0.10763182946722141,0.3814261391291854,0.5109420314035933
424,0.171876993144158,0.30906320231995127,0.11897098348692241,0.3848239291703645,0.49620508734271307
1499,0.203250653895493,0.30906493920192,0.21057846790549808,0.21667849602032457,0.5727430360741773
2026,0.17772408184775035,0.30906660579582096,0.07852023166444992,0.3258776102546592,0.5956021580808908
